fecha;pm2.5;pm10;humedad;puntoRocio;temperatura;dir_viento;viento;icap;calidad_aire
2013-01-01;9,3612;25,2396;44,8462;10,0615;25,0308;174,6154;3,7692;16,8264;5
2013-01-02;13,7865;36,1072;43,3077;12,1000;25,8000;256,1538;3,7692;24,0715;5
2013-01-03;12,2568;29,2324;62,8462;13,4000;21,2462;213,0769;2,7692;19,4883;5
2013-01-04;12,6945;33,1919;68,6923;13,5385;19,6000;154,6154;2,7692;22,1279;5
2013-01-05;8,6662;26,3441;53,5385;12,3231;23,3231;235,3846;3,9231;17,5627;5
2013-01-06;6,5667;15,4322;49,8462;11,5462;23,2154;248,4615;4,3077;10,2881;5
2013-01-07;7,1627;15,9256;64,4615;12,6308;20,6231;214,6154;5,1538;10,6171;5
2013-01-08;7,9991;29,3997;46,3077;9,9923;23,2846;193,8462;10,4615;19,5998;5
2013-01-09;5,3046;34,6654;42,3077;11,5538;26,5077;197,6923;10,3077;23,1103;5
2013-01-10;8,5739;32,6765;48,9231;15,7385;28,1846;135,3846;5,2308;21,7843;5
2013-01-11;10,6555;37,2600;56,0000;15,8769;26,1538;199,2308;7,0000;24,8400;5
2013-01-12;7,4099;29,5615;58,7692;17,4615;26,5231;237,6923;5,0000;19,7077;5
2013-01-13;7,9202;25,6898;68,0769;17,2308;23,7231;176,1538;4,8462;17,1265;5
2013-01-14;8,3452;29,9796;66,7692;17,0308;23,6538;279,2308;4,3846;19,9864;5
2013-01-15;14,6838;45,0596;66,6154;17,0231;23,8538;104,6154;4,5385;30,0397;5
2013-01-16;12,6934;37,6197;57,5385;15,5615;25,6077;213,8462;3,1538;25,0798;5
2013-01-17;9,3306;37,4626;54,3077;15,7154;26,1769;218,4615;4,1538;24,9751;5
2013-01-18;13,9675;44,7039;54,1538;15,3692;25,7769;249,2308;3,3077;29,8026;5
2013-01-19;10,2379;33,9937;53,3077;16,4308;27,1231;231,1538;3,8462;22,6625;5
2013-01-20;6,5942;19,7255;61,8462;16,0231;24,4385;248,4615;3,7692;13,1503;5
2013-01-21;8,8774;24,5327;71,1538;15,8077;21,7000;246,9231;2,6923;16,3551;5
2013-01-22;15,5426;38,5760;64,9231;16,6308;24,2846;257,6923;3,7692;25,7173;5
2013-01-23;8,5945;37,3310;42,6923;10,8538;27,6615;184,6154;6,5385;24,8873;5
2013-01-24;5,6490;28,1252;45,0000;11,9000;25,6615;188,4615;6,0000;18,7501;5
2013-01-25;6,7926;30,4470;48,0769;11,6231;24,4231;236,9231;4,0000;20,2980;5
2013-01-26;10,5795;38,8389;44,5385;11,4154;25,6154;227,6923;3,9231;25,8926;5
2013-01-27;12,3380;35,0261;44,3077;11,6077;25,7154;213,0769;3,2308;23,3507;5
2013-01-28;8,1686;24,3119;57,2308;11,7615;20,8769;260,7692;6,3846;16,2079;5
2013-01-29;9,9977;32,8494;47,9231;11,0923;24,6154;203,0769;4,2308;21,8996;5
2013-01-30;10,9613;37,7187;47,0769;12,5385;26,4231;230,0000;4,1538;25,1458;5
2013-01-31;14,8328;45,2347;48,6923;12,7615;25,7077;181,5385;3,4615;30,1565;5
2013-02-01;11,4018;33,8967;46,8462;11,2385;24,3154;206,9231;4,1538;22,5978;5
2013-02-02;7,3595;24,4337;44,6923;11,9538;25,8000;200,0000;6,0000;16,2891;5
2013-02-03;11,7994;31,2558;42,2308;12,3538;28,0923;200,7692;4,6923;20,8372;5
2013-02-04;10,2449;38,8120;43,9231;13,5154;28,2385;176,1538;4,6923;25,8747;5
2013-02-05;10,3794;34,2649;50,5385;15,2077;27,3846;205,3846;3,6923;22,8433;5
2013-02-06;13,7117;40,3051;56,2308;15,8769;25,7077;181,5385;6,6923;26,8701;5
2013-02-07;13,9823;40,1186;55,0769;16,4538;26,9462;167,6923;3,1538;26,7457;5
2013-02-08;12,4646;38,5693;55,0000;16,1154;26,3538;143,8462;3,3846;25,7129;5
2013-02-09;11,1460;43,7449;68,7692;16,1000;22,3846;191,5385;9,5385;29,1633;5
2013-02-10;7,6440;15,2823;69,0769;15,4615;22,0154;256,9231;5,8462;10,1882;5
2013-02-11;8,3953;20,5450;64,8462;13,5154;20,8231;202,3077;3,9231;13,6967;5
2013-02-12;9,7714;21,0182;58,0000;12,2286;21,3429;197,8571;4,0714;14,0121;5
2013-02-13;8,1398;24,7085;46,7692;9,2615;22,0923;196,1538;5,7692;16,4723;5
2013-02-14;9,1143;28,8331;48,9231;12,6846;24,7846;200,7692;3,6154;19,2221;5
2013-02-15;7,2324;21,1961;58,2308;14,9000;24,4846;210,0000;5,0000;14,1307;5
2013-02-16;8,1733;12,9035;66,9231;12,9154;20,1692;274,6154;5,6923;8,6023;5
2013-02-17;11,6312;11,6806;43,0000;4,8538;18,6923;192,3077;11,1538;7,7871;5
2013-02-18;11,6312;17,1384;44,9231;6,5615;20,0308;196,1538;4,5385;11,4256;5
2013-02-19;12,4254;22,0196;48,6923;9,1154;21,8769;210,7692;5,3077;14,6797;5
2013-02-20;16,0300;31,5048;54,2308;11,9308;22,7692;191,5385;3,3846;21,0032;5
2013-02-21;8,8208;33,7886;51,6923;11,2077;23,5769;206,1538;6,4615;22,5257;5
2013-02-22;8,1964;30,2950;44,4615;10,4385;24,7385;223,8462;4,6923;20,1967;5
2013-02-23;5,7011;15,6790;53,0769;10,5462;21,5308;181,5385;3,2308;10,4527;5
2013-02-24;3,5159;20,9309;49,4615;10,2769;22,1846;193,8462;10,5385;13,9539;5
2013-02-25;5,9482;23,5367;48,2308;10,8231;23,8846;193,8462;6,2308;15,6911;5
2013-02-26;9,6712;30,0606;49,4615;12,9385;25,3077;207,6923;3,2308;20,0404;5
2013-02-27;6,2459;27,8273;47,3077;9,1692;22,2385;210,7692;4,8462;18,5515;5
2013-02-28;4,9493;23,4393;49,6923;8,7154;20,5231;206,9231;5,2308;15,6262;5
2013-03-01;9,4020;32,8273;61,2308;8,8769;16,8462;188,3333;3,1667;21,8849;5
2013-03-02;10,3810;30,2324;49,9231;9,9538;22,0769;193,3333;8,9167;20,1549;5
2013-03-03;20,8330;41,7871;50,0769;11,4692;24,3154;136,6667;1,5833;27,8581;5
2013-03-04;14,5225;43,8939;46,4615;10,6615;24,5462;206,6667;3,7500;29,2626;5
2013-03-05;16,7913;41,4127;55,5385;10,1769;20,0154;224,1667;5,9167;27,6085;5
2013-03-06;3,5400;17,6166;53,7692;6,6462;17,7385;165,8333;5,1667;11,7444;5
2013-03-07;6,6231;24,5053;44,3846;3,7462;18,3077;165,8333;3,0000;16,3369;5
2013-03-08;10,4100;42,0182;48,2308;6,0231;18,4462;77,5000;1,3333;28,0121;5
2013-03-09;8,4384;26,7467;54,3846;10,6923;20,9846;196,6667;5,5000;17,8311;5
2013-03-10;5,2330;19,5239;50,5385;10,3769;22,4769;202,5000;6,7500;13,0159;5
2013-03-11;7,2610;31,4182;52,7692;9,8385;21,0846;193,3333;8,6667;20,9455;5
2013-03-12;11,6288;36,8235;46,1538;6,0846;19,4846;196,6667;6,8333;24,5490;5
2013-03-13;10,6073;37,8231;45,0769;5,2615;19,0077;210,8333;4,0833;25,2154;5
2013-03-14;17,0188;61,4132;37,6923;2,9231;19,8769;230,0000;3,5833;40,9421;5
2013-03-15;31,5845;82,2588;36,6923;3,3154;21,4308;205,8333;4,0000;54,8392;5
2013-03-16;44,1530;97,7742;43,4615;6,6154;20,6077;152,5000;2,4167;65,1828;5
2013-03-17;26,3921;54,6360;45,3077;7,2923;20,9769;209,1667;3,3333;36,4240;5
2013-03-18;17,7977;54,7113;51,7692;9,9308;21,2769;193,3333;4,3333;36,4742;5
2013-03-19;30,5741;68,8509;56,3077;10,0615;20,2154;228,3333;3,2500;45,9006;5
2013-03-20;8,6051;25,5310;63,0000;10,9846;18,7769;192,5000;4,7500;17,0207;5
2013-03-21;6,5943;23,8133;50,8462;6,6154;18,2308;197,5000;8,5000;15,8755;5
2013-03-22;8,4670;31,8280;48,2308;6,9308;19,6154;193,3333;7,3333;21,2187;5
2013-03-23;16,2333;40,1719;55,3077;9,4923;19,6923;193,3333;3,9167;26,7813;5
2013-03-24;17,1984;34,9340;64,6923;11,5615;18,8538;145,0000;3,2500;23,2893;5
2013-03-25;8,5547;29,5572;52,0714;7,3857;19,7143;186,9231;7,4615;19,7048;5
2013-03-26;17,3625;45,9087;42,2308;8,3538;23,6000;200,0000;7,7500;30,6058;5
