fecha;humedad;puntoRocio;temperatura;dd_Valor;ff_Valor
2013-01-01;44,8462;10,0615;25,0308;174,6154;3,7692
2013-01-02;43,3077;12,1000;25,8000;256,1538;3,7692
2013-01-03;62,8462;13,4000;21,2462;213,0769;2,7692
2013-01-04;68,6923;13,5385;19,6000;154,6154;2,7692
2013-01-05;53,5385;12,3231;23,3231;235,3846;3,9231
2013-01-06;49,8462;11,5462;23,2154;248,4615;4,3077
2013-01-07;64,4615;12,6308;20,6231;214,6154;5,1538
2013-01-08;46,3077;9,9923;23,2846;193,8462;10,4615
2013-01-09;42,3077;11,5538;26,5077;197,6923;10,3077
2013-01-10;48,9231;15,7385;28,1846;135,3846;5,2308
2013-01-11;56,0000;15,8769;26,1538;199,2308;7,0000
2013-01-12;58,7692;17,4615;26,5231;237,6923;5,0000
2013-01-13;68,0769;17,2308;23,7231;176,1538;4,8462
2013-01-14;66,7692;17,0308;23,6538;279,2308;4,3846
2013-01-15;66,6154;17,0231;23,8538;104,6154;4,5385
2013-01-16;57,5385;15,5615;25,6077;213,8462;3,1538
2013-01-17;54,3077;15,7154;26,1769;218,4615;4,1538
2013-01-18;54,1538;15,3692;25,7769;249,2308;3,3077
2013-01-19;53,3077;16,4308;27,1231;231,1538;3,8462
2013-01-20;61,8462;16,0231;24,4385;248,4615;3,7692
2013-01-21;71,1538;15,8077;21,7000;246,9231;2,6923
2013-01-22;64,9231;16,6308;24,2846;257,6923;3,7692
2013-01-23;42,6923;10,8538;27,6615;184,6154;6,5385
2013-01-24;45,0000;11,9000;25,6615;188,4615;6,0000
2013-01-25;48,0769;11,6231;24,4231;236,9231;4,0000
2013-01-26;44,5385;11,4154;25,6154;227,6923;3,9231
2013-01-27;44,3077;11,6077;25,7154;213,0769;3,2308
2013-01-28;57,2308;11,7615;20,8769;260,7692;6,3846
2013-01-29;47,9231;11,0923;24,6154;203,0769;4,2308
2013-01-30;47,0769;12,5385;26,4231;230,0000;4,1538
2013-01-31;48,6923;12,7615;25,7077;181,5385;3,4615
2013-02-01;46,8462;11,2385;24,3154;206,9231;4,1538
2013-02-02;44,6923;11,9538;25,8000;200,0000;6,0000
2013-02-03;42,2308;12,3538;28,0923;200,7692;4,6923
2013-02-04;43,9231;13,5154;28,2385;176,1538;4,6923
2013-02-05;50,5385;15,2077;27,3846;205,3846;3,6923
2013-02-06;56,2308;15,8769;25,7077;181,5385;6,6923
2013-02-07;55,0769;16,4538;26,9462;167,6923;3,1538
2013-02-08;55,0000;16,1154;26,3538;143,8462;3,3846
2013-02-09;68,7692;16,1000;22,3846;191,5385;9,5385
2013-02-10;69,0769;15,4615;22,0154;256,9231;5,8462
2013-02-11;64,8462;13,5154;20,8231;202,3077;3,9231
2013-02-12;58,0000;12,2286;21,3429;197,8571;4,0714
