fecha;pm2.5;pm10;humedad;puntoRocio;temperatura;dir_viento;viento;precipitacion;AQI;calidad_aire;year;estacion;mes;mes_sin;mes_cos;dia;dia_sin;dia_cos;dir_viento_sin;dir_viento_cos
2013-01-01;0,0443;0,1004;0,2366;0,6306;0,8301;0,4888;0,1680;0,0000;0,0668;Bueno;0,0000;0,0000;0,0000;0,7500;0,9330;0,0000;0,6008;0,9897;0,5469;0,0022
2013-01-02;0,0678;0,1571;0,2153;0,7204;0,8548;0,7212;0,1680;0,0000;0,0972;Moderado;0,0000;0,0000;0,0000;0,7500;0,9330;0,0333;0,6974;0,9594;0,0145;0,3806
2013-01-03;0,0597;0,1212;0,4858;0,7776;0,7089;0,5984;0,1195;0,0000;0,0911;Moderado;0,0000;0,0000;0,0000;0,7500;0,9330;0,0667;0,7860;0,9102;0,2271;0,0811
2013-01-04;0,0620;0,1418;0,5667;0,7837;0,6561;0,4318;0,1195;0,0000;0,0931;Moderado;0,0000;0,0000;0,0000;0,7500;0,9330;0,1000;0,8629;0,8441;0,7143;0,0483
2013-01-05;0,0407;0,1061;0,3569;0,7302;0,7754;0,6620;0,1755;0,0000;0,0607;Bueno;0,0000;0,0000;0,0000;0,7500;0,9330;0,1333;0,9249;0,7639;0,0884;0,2161
2013-01-06;0,0295;0,0492;0,3058;0,6960;0,7720;0,6993;0,1941;0,0092;0,0425;Bueno;0,0000;0,0000;0,0000;0,7500;0,9330;0,1667;0,9695;0,6728;0,0349;0,3167
2013-01-07;0,0327;0,0518;0,5081;0,7437;0,6889;0,6028;0,2352;0,0000;0,0486;Bueno;0,0000;0,0000;0,0000;0,7500;0,9330;0,2000;0,9949;0,5746;0,2159;0,0886
2013-01-08;0,0371;0,1221;0,2569;0,6276;0,7742;0,5436;0,4928;0,0000;0,0547;Bueno;0,0000;0,0000;0,0000;0,7500;0,9330;0,2333;1,0000;0,4733;0,3803;0,0145
2013-01-09;0,0228;0,1495;0,2015;0,6963;0,8775;0,5546;0,4853;0,0000;0,0506;Bueno;0,0000;0,0000;0,0000;0,7500;0,9330;0,2667;0,9847;0,3731;0,3480;0,0237
2013-01-10;0,0402;0,1392;0,2931;0,8806;0,9312;0,3770;0,2389;0,0000;0,0587;Bueno;0,0000;0,0000;0,0000;0,7500;0,9330;0,3000;0,9495;0,2780;0,8512;0,1442
2013-01-11;0,0512;0,1631;0,3910;0,8867;0,8661;0,5590;0,3248;0,0000;0,0769;Bueno;0,0000;0,0000;0,0000;0,7500;0,9330;0,3333;0,8959;0,1919;0,3353;0,0279
2013-01-12;0,0340;0,1229;0,4293;0,9565;0,8780;0,6686;0,2277;0,0000;0,0506;Bueno;0,0000;0,0000;0,0000;0,7500;0,9330;0,3667;0,8261;0,1184;0,0773;0,2329
2013-01-13;0,0367;0,1027;0,5582;0,9463;0,7882;0,4932;0,2203;0,0000;0,0547;Bueno;0,0000;0,0000;0,0000;0,7500;0,9330;0,4000;0,7430;0,0604;0,5335;0,0011
2013-01-14;0,0390;0,1251;0,5401;0,9375;0,7860;0,7869;0,1979;0,0000;0,0587;Bueno;0,0000;0,0000;0,0000;0,7500;0,9330;0,4333;0,6499;0,0204;0,0064;0,5806
2013-01-15;0,0726;0,2038;0,5379;0,9372;0,7924;0,2893;0,2053;0,0000;0,1012;Moderado;0,0000;0,0000;0,0000;0,7500;0,9330;0,4667;0,5506;0,0000;0,9838;0,3741
2013-01-16;0,0620;0,1649;0,4123;0,8728;0,8486;0,6006;0,1381;0,0000;0,0931;Moderado;0,0000;0,0000;0,0000;0,7500;0,9330;0,5000;0,4494;0,0000;0,2215;0,0848
2013-01-17;0,0442;0,1641;0,3676;0,8796;0,8669;0,6138;0,1867;0,0000;0,0668;Bueno;0,0000;0,0000;0,0000;0,7500;0,9330;0,5333;0,3501;0,0204;0,1890;0,1086
2013-01-18;0,0688;0,2019;0,3655;0,8643;0,8541;0,7014;0,1456;0,0000;0,0992;Moderado;0,0000;0,0000;0,0000;0,7500;0,9330;0,5667;0,2570;0,0604;0,0324;0,3229
2013-01-19;0,0490;0,1460;0,3537;0,9111;0,8972;0,6499;0,1717;0,0000;0,0729;Bueno;0,0000;0,0000;0,0000;0,7500;0,9330;0,6000;0,1739;0,1184;0,1105;0,1865
2013-01-20;0,0297;0,0716;0,4719;0,8931;0,8112;0,6993;0,1680;0,0000;0,0425;Bueno;0,0000;0,0000;0,0000;0,7500;0,9330;0,6333;0,1041;0,1919;0,0349;0,3167
2013-01-21;0,0418;0,0967;0,6007;0,8836;0,7234;0,6949;0,1157;0,0000;0,0628;Bueno;0,0000;0,0000;0,0000;0,7500;0,9330;0,6667;0,0505;0,2780;0,0399;0,3042
2013-01-22;0,0771;0,1699;0,5145;0,9199;0,8062;0,7256;0,1680;0,0000;0,1053;Moderado;0,0000;0,0000;0,0000;0,7500;0,9330;0,7000;0,0153;0,3731;0,0114;0,3937
2013-01-23;0,0403;0,1634;0,2068;0,6655;0,9145;0,5173;0,3024;0,0000;0,0587;Bueno;0,0000;0,0000;0,0000;0,7500;0,9330;0,7333;0,0000;0,4733;0,4597;0,0016
2013-01-24;0,0247;0,1154;0,2388;0,7116;0,8504;0,5283;0,2763;0,0000;0,0405;Bueno;0,0000;0,0000;0,0000;0,7500;0,9330;0,7667;0,0051;0,5746;0,4264;0,0054
2013-01-25;0,0307;0,1275;0,2813;0,6994;0,8107;0,6664;0,1792;0,0000;0,0445;Bueno;0,0000;0,0000;0,0000;0,7500;0,9330;0,8000;0,0305;0,6728;0,0810;0,2273
2013-01-26;0,0508;0,1713;0,2324;0,6902;0,8489;0,6401;0,1755;0,0000;0,0769;Bueno;0,0000;0,0000;0,0000;0,7500;0,9330;0,8333;0,0751;0,7639;0,1302;0,1636
2013-01-27;0,0601;0,1514;0,2292;0,6987;0,8521;0,5984;0,1419;0,0000;0,0911;Moderado;0,0000;0,0000;0,0000;0,7500;0,9330;0,8667;0,1371;0,8441;0,2271;0,0811
2013-01-28;0,0380;0,0955;0,4080;0,7055;0,6970;0,7343;0,2949;0,0000;0,0567;Bueno;0,0000;0,0000;0,0000;0,7500;0,9330;0,9000;0,2140;0,9102;0,0064;0,4201
2013-01-29;0,0477;0,1401;0,2792;0,6760;0,8168;0,5699;0,1904;0,0000;0,0709;Bueno;0,0000;0,0000;0,0000;0,7500;0,9330;0,9333;0,3026;0,9594;0,3040;0,0400
2013-01-30;0,0528;0,1655;0,2675;0,7397;0,8748;0,6466;0,1867;0,0000;0,0789;Bueno;0,0000;0,0000;0,0000;0,7500;0,9330;0,9667;0,3992;0,9897;0,1169;0,1787
2013-01-31;0,0734;0,2047;0,2899;0,7495;0,8518;0,5085;0,1531;0,0000;0,1032;Moderado;0,0000;0,0000;0,0000;0,7500;0,9330;1,0000;0,5000;1,0000;0,4865;0,0002
2013-02-01;0,0552;0,1455;0,2643;0,6824;0,8072;0,5809;0,1867;0,0000;0,0850;Bueno;0,0000;0,0000;0,0909;0,9330;0,7500;0,0000;0,6008;0,9897;0,2736;0,0542
2013-02-02;0,0337;0,0962;0,2345;0,7139;0,8548;0,5612;0,2763;0,0000;0,0486;Bueno;0,0000;0,0000;0,0909;0,9330;0,7500;0,0333;0,6974;0,9594;0,3289;0,0302
2013-02-03;0,0573;0,1317;0,2004;0,7315;0,9283;0,5633;0,2128;0,0000;0,0870;Bueno;0,0000;0,0000;0,0909;0,9330;0,7500;0,0667;0,7860;0,9102;0,3227;0,0325
2013-02-04;0,0490;0,1712;0,2238;0,7827;0,9329;0,4932;0,2128;0,0000;0,0729;Bueno;0,0000;0,0000;0,0909;0,9330;0,7500;0,1000;0,8629;0,8441;0,5335;0,0011
2013-02-05;0,0497;0,1474;0,3154;0,8572;0,9056;0,5765;0,1643;0,0000;0,0749;Bueno;0,0000;0,0000;0,0909;0,9330;0,7500;0,1333;0,9249;0,7639;0,2856;0,0483
2013-02-06;0,0674;0,1789;0,3942;0,8867;0,8518;0,5085;0,3099;0,0000;0,0972;Moderado;0,0000;0,0000;0,0909;0,9330;0,7500;0,1667;0,9695;0,6728;0,4865;0,0002
2013-02-07;0,0689;0,1780;0,3782;0,9121;0,8915;0,4691;0,1381;0,0000;0,0992;Moderado;0,0000;0,0000;0,0909;0,9330;0,7500;0,2000;0,9949;0,5746;0,6066;0,0115
2013-02-08;0,0608;0,1699;0,3772;0,8972;0,8725;0,4011;0,1493;0,0000;0,0931;Moderado;0,0000;0,0000;0,0909;0,9330;0,7500;0,2333;1,0000;0,4733;0,7950;0,0964
2013-02-09;0,0538;0,1969;0,5677;0,8965;0,7453;0,5370;0,4480;0,0000;0,0810;Bueno;0,0000;0,0000;0,0909;0,9330;0,7500;0,2667;0,9847;0,3731;0,3999;0,0101
2013-02-10;0,0352;0,0484;0,5720;0,8684;0,7335;0,7234;0,2688;0,0069;0,0526;Bueno;0,0000;0,0000;0,0909;0,9330;0,7500;0,3000;0,9495;0,2780;0,0129;0,3871
2013-02-11;0,0392;0,0759;0,5134;0,7827;0,6953;0,5677;0,1755;0,0103;0,0587;Bueno;0,0000;0,0000;0,0909;0,9330;0,7500;0,3333;0,8959;0,1919;0,3102;0,0374
2013-02-12;0,0465;0,0783;0,4187;0,7260;0,7120;0,5551;0,1827;0,0000;0,0688;Bueno;0,0000;0,0000;0,0909;0,9330;0,7500;0,3667;0,8261;0,1184;0,3466;0,0241
2013-02-13;0,0379;0,0976;0,2632;0,5954;0,7360;0,5502;0,2651;0,0000;0,0567;Bueno;0,0000;0,0000;0,0909;0,9330;0,7500;0,4000;0,7430;0,0604;0,3609;0,0198
2013-02-14;0,0430;0,1191;0,2931;0,7461;0,8223;0,5633;0,1605;0,0000;0,0648;Bueno;0,0000;0,0000;0,0909;0,9330;0,7500;0,4333;0,6499;0,0204;0,3227;0,0325
