FECHA (YYMMDD);Registros validados
2013-01-03;12.2021
2013-01-06;8.86414
2013-01-07;10.0016
2013-01-08;10.5093
2013-01-11;12.6679
2013-06-28;13.9958
2013-06-29;17.2935
2013-06-30;40.282
2013-07-01;57.0496
2013-07-02;17.897
2013-07-03;13.9103
2013-07-04;35.0568
2013-07-05;37.6252
2013-07-06;37.9859
2013-07-07;34.2979
2013-07-08;31.163
2013-07-09;16.3044
2013-07-10;13.6901
2013-07-11;48.0934
2013-07-12;45.149
2013-07-13;37.9169
2013-07-14;69.3225
2013-07-15;21.3505
2013-07-16;23.5109
2013-07-17;24.7124
2013-07-18;24.6303
2013-07-19;47.822
2013-07-20;69.8706
2013-07-21;39.0189
2013-07-22;48.7662
2013-07-23;32.4487
2013-07-24;26.9517
2013-07-25;48.5633
2013-07-26;38.892
2013-07-27;50.9338
2013-07-28;39.4989
2013-07-29;19.3458
2013-07-30;19.6255
2013-07-31;42.1147
2013-08-01;38.9994
2013-08-02;30.9159
2013-08-03;19.4729
2013-08-04;15.0513
2013-08-05;21.9006
2013-08-06;33.0598
2013-08-07;30.7659
2013-08-08;54.2832
2013-08-09;32.4066
2013-08-10;42.045
2013-08-11;18.2615
2013-08-12;20.7971
2013-08-13;24.0698
2013-08-14;60.9854
2013-08-15;87.7443
2013-08-16;23.2439
2013-08-17;60.8452
2013-08-18;42.9402
2013-08-19;21.2833
2013-08-20;39.6408
2013-08-21;48.3953
2013-08-22;22.0558
2013-08-23;24.5368
2013-08-24;50.0348
2013-08-25;107.788
2013-08-26;78.1782
2013-08-27;56.6904
2013-08-28;18.6823
2013-08-29;25.024
2013-08-30;24.8873
2013-08-31;28.9073
2013-09-01;40.781
2013-09-02;56.9385
2013-09-03;71.4897
2013-09-04;51.3654
2013-09-05;14.1464
2013-09-06;16.5633
2013-09-07;11.0863
2013-09-08;17.7581
2013-09-09;16.5796
2013-09-10;16.7569
2013-09-11;37.0651
2013-09-12;23.2181
2013-09-13;22.9771
2013-09-14;26.8391
2013-09-15;25.1108
2013-09-16;41.9487
2013-09-17;33.7728
2013-09-18;26.3517
2013-09-19;24.2181
2013-09-20;21.2917
2013-09-21;36.5999
2013-09-22;21.5338
2013-09-23;25.4074
2013-09-24;23.4338
2013-09-25;26.5216
2013-09-26;20.4124
2013-09-27;18.1228
2013-09-28;35.4401
2013-09-29;22.3916
2013-09-30;22.2682
2013-10-01;21.4307
2013-10-02;19.9324
2013-10-03;28.0817
2013-10-04;17.3146
2013-10-05;19.2496
2013-10-06;15.2138
2013-10-07;18.5029
2013-10-08;17.189
2013-10-09;17.6136
2013-10-10;16.9998
2013-10-11;16.6136
2013-10-12;16.6954
2013-10-13;17.5882
2013-10-14;15.3524
2013-10-15;14.3195
2013-10-16;14.4139
2013-10-17;14.1097
2013-10-18;14.3658
2013-10-19;13.3867
2013-10-20;13.7391
2013-10-21;12.5898
2013-10-22;16.9244
2013-10-23;13.6539
2013-10-24;14.4565
2013-10-25;16.6585
2013-10-26;16.1842
2013-10-27;13.8191
2013-10-28;16.6563
2013-10-29;12.7818
2013-10-30;15.0643
2013-10-31;13.9385
2013-11-01;18.3694
2013-11-02;15.7696
2013-11-03;13.3271
2013-11-04;15.9673
2013-11-05;14.2998
2013-11-06;12.5738
2013-11-07;12.0825
2013-11-08;14.94
2013-11-09;13.286
2013-11-10;13.1472
2013-11-11;11.1273
2013-11-12;11.1266
2013-11-13;14.4516
2013-11-14;11.9353
2013-11-15;12.513
2013-11-16;12.7278
2013-11-17;12.0986
2013-11-18;11.7107
2013-11-19;14.3887
2013-11-20;15.1195
2013-11-21;16.5922
2013-11-22;16.181
2013-11-23;14.1837
2013-11-24;11.9745
2013-11-25;12.558
2013-11-26;12.5071
2013-11-27;15.7652
2013-11-28;11.613
2013-11-29;13.5414
2013-11-30;14.0231
2013-12-01;18.6236
2013-12-02;12.0171
2013-12-03;13.5414
2013-12-04;12.2173
2013-12-05;11.4971
2013-12-06;12.6336
2013-12-07;11.5608
