momento;valor
01-01-2012 0:00;51.0
01-01-2012 12:00;84.0
01-01-2012 13:00;77.0
01-01-2012 14:00;61.0
01-01-2012 15:00;56.0
01-01-2012 16:00;44.0
01-01-2012 17:00;37.0
01-01-2012 18:00;35.0
01-01-2012 19:00;28.0
01-01-2012 20:00;33.0
01-01-2012 21:00;34.0
01-01-2012 22:00;23.0
01-01-2012 23:00;24.0
02-01-2012 0:00;31.0
02-01-2012 12:00;79.0
02-01-2012 13:00;69.0
02-01-2012 14:00;65.0
02-01-2012 15:00;61.0
02-01-2012 16:00;52.0
02-01-2012 17:00;49.0
02-01-2012 18:00;42.0
02-01-2012 19:00;38.0
02-01-2012 20:00;27.0
02-01-2012 21:00;21.0
02-01-2012 22:00;21.0
02-01-2012 23:00;24.0
03-01-2012 0:00;52.0
03-01-2012 12:00;69.0
03-01-2012 13:00;68.0
03-01-2012 14:00;59.0
03-01-2012 15:00;50.0
03-01-2012 16:00;44.0
03-01-2012 17:00;37.0
03-01-2012 18:00;33.0
03-01-2012 19:00;29.0
03-01-2012 20:00;25.0
03-01-2012 21:00;25.0
03-01-2012 22:00;25.0
03-01-2012 23:00;26.0
04-01-2012 0:00;30.0
04-01-2012 12:00;70.0
04-01-2012 13:00;58.0
04-01-2012 14:00;52.0
04-01-2012 15:00;49.0
04-01-2012 16:00;45.0
04-01-2012 17:00;43.0
04-01-2012 18:00;39.0
04-01-2012 19:00;37.0
04-01-2012 20:00;34.0
04-01-2012 21:00;36.0
05-01-2012 0:00;
05-01-2012 12:00;73.0
05-01-2012 13:00;69.0
05-01-2012 14:00;65.0
05-01-2012 15:00;59.0
05-01-2012 16:00;53.0
05-01-2012 17:00;49.0
05-01-2012 18:00;46.0
05-01-2012 19:00;42.0
05-01-2012 20:00;41.0
05-01-2012 21:00;45.0
06-01-2012 0:00;
06-01-2012 12:00;90.0
06-01-2012 13:00;85.0
06-01-2012 14:00;73.0
06-01-2012 15:00;65.0
06-01-2012 16:00;60.0
06-01-2012 17:00;54.0
06-01-2012 18:00;49.0
06-01-2012 19:00;48.0
06-01-2012 20:00;45.0
06-01-2012 21:00;44.0
07-01-2012 0:00;
07-01-2012 12:00;96.0
07-01-2012 13:00;85.0
07-01-2012 14:00;80.0
07-01-2012 15:00;77.0
07-01-2012 16:00;69.0
07-01-2012 17:00;68.0
07-01-2012 18:00;68.0
07-01-2012 19:00;68.0
07-01-2012 20:00;73.0
07-01-2012 21:00;68.0
08-01-2012 0:00;
08-01-2012 12:00;74.0
08-01-2012 13:00;68.0
08-01-2012 14:00;60.0
08-01-2012 15:00;57.0
08-01-2012 16:00;47.0
08-01-2012 17:00;39.0
08-01-2012 18:00;40.0
08-01-2012 19:00;40.0
08-01-2012 20:00;40.0
08-01-2012 21:00;40.0
09-01-2012 12:00;87.0
09-01-2012 13:00;81.0
09-01-2012 14:00;96.0
09-01-2012 15:00;85.0
09-01-2012 16:00;95.0
09-01-2012 17:00;81.0
09-01-2012 18:00;76.0
09-01-2012 19:00;57.0
09-01-2012 20:00;50.0
09-01-2012 21:00;48.0
10-01-2012 0:00;
10-01-2012 12:00;90.0
10-01-2012 13:00;74.0
10-01-2012 14:00;63.0
10-01-2012 15:00;55.0
10-01-2012 16:00;49.0
10-01-2012 17:00;46.0
10-01-2012 18:00;37.0
10-01-2012 19:00;36.0
10-01-2012 20:00;35.0
10-01-2012 21:00;34.0
11-01-2012 0:00;
11-01-2012 12:00;73.0
11-01-2012 13:00;67.0
11-01-2012 14:00;55.0
11-01-2012 15:00;51.0
11-01-2012 16:00;41.0
11-01-2012 17:00;38.0
11-01-2012 18:00;29.0
11-01-2012 19:00;28.0
11-01-2012 20:00;27.0
11-01-2012 21:00;27.0
12-01-2012 0:00;
12-01-2012 12:00;81.0
12-01-2012 13:00;68.0
12-01-2012 14:00;58.0
12-01-2012 15:00;49.0
12-01-2012 16:00;39.0
12-01-2012 17:00;34.0
12-01-2012 18:00;32.0
12-01-2012 19:00;30.0
12-01-2012 20:00;28.0
12-01-2012 21:00;27.0
13-01-2012 0:00;
13-01-2012 12:00;72.0
13-01-2012 13:00;65.0
13-01-2012 14:00;59.0
13-01-2012 15:00;56.0
13-01-2012 16:00;52.0
13-01-2012 17:00;47.0
13-01-2012 18:00;44.0
13-01-2012 19:00;43.0
13-01-2012 20:00;42.0
13-01-2012 21:00;41.0
14-01-2012 0:00;
14-01-2012 12:00;85.0
14-01-2012 13:00;74.0
14-01-2012 14:00;71.0
14-01-2012 15:00;69.0
14-01-2012 16:00;61.0
14-01-2012 17:00;54.0
14-01-2012 18:00;48.0
14-01-2012 19:00;46.0
14-01-2012 20:00;42.0
14-01-2012 21:00;35.0
15-01-2012 0:00;
15-01-2012 12:00;88.0
15-01-2012 13:00;78.0
15-01-2012 14:00;70.0
15-01-2012 15:00;59.0
15-01-2012 16:00;56.0
15-01-2012 17:00;51.0
15-01-2012 18:00;47.0
15-01-2012 19:00;45.0
15-01-2012 20:00;44.0
15-01-2012 21:00;44.0
16-01-2012 0:00;
16-01-2012 12:00;92.0
16-01-2012 13:00;82.0
16-01-2012 14:00;65.0
16-01-2012 15:00;57.0
16-01-2012 16:00;55.0
16-01-2012 17:00;51.0
16-01-2012 18:00;44.0
16-01-2012 19:00;41.0
16-01-2012 20:00;40.0
16-01-2012 21:00;40.0
17-01-2012 0:00;
17-01-2012 12:00;85.0
17-01-2012 13:00;78.0
17-01-2012 14:00;67.0
17-01-2012 15:00;58.0
17-01-2012 16:00;49.0
17-01-2012 17:00;39.0
17-01-2012 18:00;37.0
17-01-2012 19:00;32.0
17-01-2012 20:00;33.0
17-01-2012 21:00;32.0
18-01-2012 0:00;
18-01-2012 12:00;86.0
18-01-2012 13:00;75.0
18-01-2012 14:00;63.0
18-01-2012 15:00;54.0
18-01-2012 16:00;47.0
18-01-2012 17:00;43.0
18-01-2012 18:00;34.0
18-01-2012 19:00;28.0
18-01-2012 20:00;25.0
18-01-2012 21:00;24.0
18-01-2012 22:00;32.0
18-01-2012 23:00;34.0
19-01-2012 0:00;39.0
19-01-2012 12:00;73.0
19-01-2012 13:00;61.0
19-01-2012 14:00;57.0
19-01-2012 15:00;48.0
19-01-2012 16:00;41.0
19-01-2012 17:00;37.0
19-01-2012 18:00;33.0
19-01-2012 19:00;29.0
19-01-2012 20:00;27.0
19-01-2012 21:00;24.0
19-01-2012 22:00;24.0
19-01-2012 23:00;40.0
20-01-2012 0:00;50.0
20-01-2012 12:00;90.0
20-01-2012 13:00;78.0
20-01-2012 14:00;68.0
20-01-2012 15:00;58.0
20-01-2012 16:00;53.0
20-01-2012 17:00;48.0
20-01-2012 18:00;46.0
20-01-2012 19:00;44.0
20-01-2012 20:00;45.0
20-01-2012 21:00;48.0
20-01-2012 22:00;48.0
20-01-2012 23:00;49.0
21-01-2012 0:00;62.0
21-01-2012 12:00;97.0
21-01-2012 13:00;81.0
21-01-2012 14:00;67.0
21-01-2012 15:00;63.0
21-01-2012 16:00;63.0
21-01-2012 17:00;65.0
21-01-2012 18:00;57.0
21-01-2012 19:00;59.0
21-01-2012 20:00;58.0
21-01-2012 21:00;60.0
21-01-2012 22:00;58.0
21-01-2012 23:00;62.0
22-01-2012 0:00;66.0
22-01-2012 12:00;96.0
22-01-2012 13:00;79.0
22-01-2012 14:00;72.0
22-01-2012 15:00;63.0
22-01-2012 16:00;56.0
22-01-2012 17:00;49.0
22-01-2012 18:00;42.0
22-01-2012 19:00;39.0
22-01-2012 20:00;40.0
22-01-2012 21:00;49.0
22-01-2012 22:00;55.0
22-01-2012 23:00;52.0
23-01-2012 0:00;52.0
23-01-2012 12:00;90.0
23-01-2012 13:00;88.0
23-01-2012 14:00;83.0
23-01-2012 15:00;69.0
23-01-2012 16:00;66.0
23-01-2012 17:00;59.0
23-01-2012 18:00;54.0
23-01-2012 19:00;50.0
23-01-2012 20:00;50.0
23-01-2012 21:00;51.0
23-01-2012 22:00;52.0
23-01-2012 23:00;61.0
24-01-2012 0:00;71.0
24-01-2012 12:00;87.0
24-01-2012 13:00;69.0
24-01-2012 14:00;56.0
24-01-2012 15:00;47.0
24-01-2012 16:00;43.0
24-01-2012 17:00;36.0
24-01-2012 18:00;34.0
24-01-2012 19:00;32.0
24-01-2012 20:00;26.0
24-01-2012 21:00;27.0
24-01-2012 22:00;26.0
24-01-2012 23:00;26.0
25-01-2012 0:00;34.0
25-01-2012 12:00;84.0
25-01-2012 13:00;71.0
25-01-2012 14:00;62.0
25-01-2012 15:00;49.0
25-01-2012 16:00;46.0
25-01-2012 17:00;38.0
25-01-2012 18:00;46.0
25-01-2012 19:00;25.0
25-01-2012 20:00;25.0
25-01-2012 21:00;23.0
25-01-2012 22:00;27.0
25-01-2012 23:00;41.0
26-01-2012 0:00;42.0
26-01-2012 12:00;72.0
26-01-2012 13:00;63.0
26-01-2012 14:00;57.0
26-01-2012 15:00;49.0
26-01-2012 16:00;42.0
26-01-2012 17:00;36.0
26-01-2012 18:00;35.0
26-01-2012 19:00;25.0
26-01-2012 20:00;23.0
26-01-2012 21:00;25.0
26-01-2012 22:00;32.0
26-01-2012 23:00;36.0
27-01-2012 0:00;43.0
27-01-2012 12:00;78.0
27-01-2012 13:00;70.0
27-01-2012 14:00;63.0
27-01-2012 15:00;54.0
27-01-2012 16:00;49.0
27-01-2012 17:00;41.0
27-01-2012 18:00;36.0
27-01-2012 19:00;29.0
27-01-2012 20:00;31.0
27-01-2012 21:00;32.0
27-01-2012 22:00;34.0
27-01-2012 23:00;38.0
28-01-2012 0:00;56.0
28-01-2012 12:00;84.0
28-01-2012 13:00;72.0
28-01-2012 14:00;58.0
28-01-2012 15:00;53.0
28-01-2012 16:00;47.0
28-01-2012 17:00;43.0
28-01-2012 18:00;42.0
28-01-2012 19:00;40.0
28-01-2012 20:00;43.0
28-01-2012 21:00;35.0
28-01-2012 22:00;52.0
28-01-2012 23:00;52.0
29-01-2012 0:00;62.0
29-01-2012 12:00;83.0
29-01-2012 13:00;67.0
29-01-2012 14:00;56.0
29-01-2012 15:00;47.0
29-01-2012 16:00;42.0
29-01-2012 17:00;36.0
29-01-2012 18:00;37.0
29-01-2012 19:00;37.0
29-01-2012 20:00;32.0
29-01-2012 21:00;34.0
29-01-2012 22:00;40.0
29-01-2012 23:00;45.0
30-01-2012 0:00;50.0
30-01-2012 12:00;78.0
30-01-2012 13:00;67.0
30-01-2012 14:00;56.0
30-01-2012 15:00;53.0
30-01-2012 16:00;45.0
30-01-2012 17:00;46.0
30-01-2012 18:00;40.0
30-01-2012 19:00;40.0
30-01-2012 20:00;45.0
30-01-2012 21:00;52.0
30-01-2012 22:00;52.0
30-01-2012 23:00;57.0
31-01-2012 0:00;73.0
31-01-2012 12:00;78.0
31-01-2012 13:00;63.0
31-01-2012 14:00;54.0
31-01-2012 15:00;47.0
31-01-2012 16:00;44.0
31-01-2012 17:00;40.0
31-01-2012 18:00;34.0
31-01-2012 19:00;26.0
31-01-2012 20:00;25.0
31-01-2012 21:00;26.0
31-01-2012 22:00;28.0
31-01-2012 23:00;30.0
01-02-2012 0:00;45.0
01-02-2012 12:00;82.0
01-02-2012 13:00;65.0
01-02-2012 14:00;50.0
01-02-2012 15:00;42.0
01-02-2012 16:00;38.0
01-02-2012 17:00;36.0
01-02-2012 18:00;35.0
01-02-2012 19:00;33.0
01-02-2012 20:00;31.0
01-02-2012 21:00;31.0
01-02-2012 22:00;31.0
01-02-2012 23:00;37.0
02-02-2012 0:00;43.0
02-02-2012 12:00;88.0
02-02-2012 13:00;77.0
02-02-2012 14:00;67.0
02-02-2012 15:00;58.0
02-02-2012 16:00;49.0
02-02-2012 17:00;44.0
02-02-2012 18:00;39.0
02-02-2012 19:00;34.0
02-02-2012 20:00;32.0
02-02-2012 21:00;28.0
02-02-2012 22:00;27.0
02-02-2012 23:00;28.0
03-02-2012 0:00;34.0
03-02-2012 12:00;89.0
03-02-2012 13:00;73.0
03-02-2012 14:00;60.0
03-02-2012 15:00;51.0
03-02-2012 16:00;40.0
03-02-2012 17:00;35.0
03-02-2012 18:00;27.0
03-02-2012 19:00;22.0
03-02-2012 20:00;28.0
03-02-2012 21:00;24.0
03-02-2012 22:00;19.0
03-02-2012 23:00;31.0
04-02-2012 0:00;44.0
04-02-2012 12:00;82.0
04-02-2012 13:00;80.0
04-02-2012 14:00;70.0
04-02-2012 15:00;63.0
04-02-2012 16:00;54.0
04-02-2012 17:00;48.0
04-02-2012 18:00;45.0
04-02-2012 19:00;44.0
04-02-2012 20:00;40.0
04-02-2012 21:00;38.0
04-02-2012 22:00;42.0
04-02-2012 23:00;47.0
05-02-2012 0:00;66.0
05-02-2012 12:00;87.0
05-02-2012 13:00;78.0
05-02-2012 14:00;69.0
05-02-2012 15:00;56.0
05-02-2012 16:00;45.0
05-02-2012 17:00;45.0
05-02-2012 18:00;38.0
05-02-2012 19:00;37.0
05-02-2012 20:00;33.0
05-02-2012 21:00;28.0
05-02-2012 22:00;26.0
05-02-2012 23:00;39.0
06-02-2012 0:00;28.0
06-02-2012 12:00;84.0
06-02-2012 13:00;82.0
06-02-2012 14:00;67.0
06-02-2012 15:00;54.0
06-02-2012 16:00;46.0
06-02-2012 17:00;34.0
06-02-2012 18:00;34.0
06-02-2012 19:00;29.0
06-02-2012 20:00;26.0
06-02-2012 21:00;37.0
06-02-2012 22:00;28.0
06-02-2012 23:00;24.0
07-02-2012 0:00;26.0
07-02-2012 12:00;85.0
07-02-2012 13:00;77.0
07-02-2012 14:00;68.0
07-02-2012 15:00;60.0
07-02-2012 16:00;56.0
07-02-2012 17:00;48.0
07-02-2012 18:00;43.0
07-02-2012 19:00;34.0
07-02-2012 20:00;32.0
07-02-2012 21:00;30.0
07-02-2012 22:00;29.0
07-02-2012 23:00;32.0
08-02-2012 0:00;45.0
08-02-2012 12:00;84.0
08-02-2012 13:00;78.0
08-02-2012 14:00;63.0
08-02-2012 15:00;50.0
08-02-2012 16:00;48.0
08-02-2012 17:00;43.0
08-02-2012 18:00;36.0
08-02-2012 19:00;33.0
08-02-2012 20:00;34.0
08-02-2012 21:00;28.0
08-02-2012 22:00;26.0
08-02-2012 23:00;26.0
09-02-2012 0:00;46.0
09-02-2012 12:00;82.0
09-02-2012 13:00;72.0
09-02-2012 14:00;61.0
09-02-2012 15:00;47.0
09-02-2012 16:00;40.0
09-02-2012 17:00;32.0
09-02-2012 18:00;28.0
09-02-2012 19:00;25.0
09-02-2012 20:00;22.0
09-02-2012 21:00;21.0
09-02-2012 22:00;34.0
09-02-2012 23:00;26.0
10-02-2012 0:00;26.0
10-02-2012 12:00;72.0
10-02-2012 13:00;63.0
10-02-2012 14:00;57.0
10-02-2012 15:00;45.0
10-02-2012 16:00;42.0
10-02-2012 17:00;37.0
10-02-2012 18:00;35.0
10-02-2012 19:00;32.0
10-02-2012 20:00;32.0
10-02-2012 21:00;28.0
10-02-2012 22:00;27.0
10-02-2012 23:00;28.0
11-02-2012 0:00;28.0
11-02-2012 12:00;88.0
11-02-2012 13:00;73.0
11-02-2012 14:00;60.0
11-02-2012 15:00;48.0
11-02-2012 16:00;44.0
11-02-2012 17:00;36.0
11-02-2012 18:00;36.0
11-02-2012 19:00;35.0
11-02-2012 20:00;35.0
11-02-2012 21:00;35.0
11-02-2012 22:00;36.0
11-02-2012 23:00;40.0
12-02-2012 0:00;47.0
12-02-2012 12:00;89.0
12-02-2012 13:00;81.0
12-02-2012 14:00;73.0
12-02-2012 15:00;65.0
12-02-2012 16:00;63.0
12-02-2012 17:00;54.0
12-02-2012 18:00;64.0
12-02-2012 19:00;73.0
12-02-2012 20:00;61.0
12-02-2012 21:00;60.0
12-02-2012 22:00;64.0
12-02-2012 23:00;65.0
13-02-2012 0:00;69.0
13-02-2012 12:00;86.0
13-02-2012 13:00;73.0
13-02-2012 14:00;64.0
13-02-2012 15:00;59.0
13-02-2012 16:00;51.0
13-02-2012 17:00;42.0
13-02-2012 18:00;38.0
13-02-2012 19:00;39.0
13-02-2012 20:00;36.0
13-02-2012 21:00;32.0
13-02-2012 22:00;31.0
13-02-2012 23:00;37.0
14-02-2012 0:00;49.0
14-02-2012 11:00;89.0
14-02-2012 12:00;89.0
14-02-2012 13:00;63.0
14-02-2012 14:00;70.0
14-02-2012 15:00;57.0
14-02-2012 16:00;52.0
14-02-2012 17:00;48.0
14-02-2012 18:00;38.0
14-02-2012 19:00;37.0
14-02-2012 20:00;37.0
14-02-2012 21:00;35.0
14-02-2012 22:00;33.0
14-02-2012 23:00;32.0
15-02-2012 0:00;37.0
15-02-2012 12:00;80.0
15-02-2012 13:00;50.0
15-02-2012 14:00;48.0
15-02-2012 15:00;47.0
15-02-2012 16:00;43.0
15-02-2012 17:00;59.0
15-02-2012 18:00;51.0
15-02-2012 19:00;48.0
15-02-2012 20:00;48.0
15-02-2012 21:00;48.0
15-02-2012 22:00;51.0
15-02-2012 23:00;52.0
16-02-2012 0:00;66.0
16-02-2012 12:00;91.0
16-02-2012 13:00;73.0
16-02-2012 14:00;63.0
16-02-2012 15:00;56.0
16-02-2012 16:00;50.0
16-02-2012 17:00;47.0
16-02-2012 18:00;41.0
16-02-2012 19:00;38.0
16-02-2012 20:00;37.0
16-02-2012 21:00;36.0
16-02-2012 22:00;38.0
16-02-2012 23:00;41.0
17-02-2012 0:00;58.0
17-02-2012 12:00;89.0
17-02-2012 13:00;76.0
17-02-2012 14:00;73.0
17-02-2012 15:00;59.0
17-02-2012 16:00;52.0
17-02-2012 17:00;59.0
17-02-2012 18:00;46.0
17-02-2012 19:00;47.0
17-02-2012 20:00;47.0
17-02-2012 21:00;44.0
17-02-2012 22:00;51.0
17-02-2012 23:00;64.0
18-02-2012 0:00;68.0
18-02-2012 12:00;98.0
18-02-2012 13:00;98.0
18-02-2012 14:00;97.0
18-02-2012 15:00;98.0
18-02-2012 16:00;97.0
18-02-2012 17:00;97.0
18-02-2012 18:00;97.0
18-02-2012 19:00;97.0
18-02-2012 20:00;98.0
18-02-2012 21:00;97.0
18-02-2012 22:00;97.0
18-02-2012 23:00;94.0
19-02-2012 0:00;95.0
19-02-2012 12:00;98.0
19-02-2012 13:00;98.0
19-02-2012 14:00;98.0
19-02-2012 15:00;88.0
19-02-2012 16:00;76.0
19-02-2012 17:00;54.0
19-02-2012 18:00;37.0
19-02-2012 19:00;34.0
19-02-2012 20:00;32.0
19-02-2012 21:00;32.0
19-02-2012 22:00;32.0
19-02-2012 23:00;35.0
20-02-2012 0:00;41.0
20-02-2012 12:00;97.0
20-02-2012 13:00;83.0
20-02-2012 14:00;62.0
20-02-2012 15:00;50.0
20-02-2012 16:00;42.0
20-02-2012 17:00;38.0
20-02-2012 18:00;38.0
20-02-2012 19:00;34.0
20-02-2012 20:00;31.0
20-02-2012 21:00;36.0
20-02-2012 22:00;36.0
20-02-2012 23:00;37.0
21-02-2012 0:00;45.0
21-02-2012 12:00;94.0
21-02-2012 13:00;91.0
21-02-2012 14:00;68.0
21-02-2012 15:00;57.0
21-02-2012 16:00;43.0
21-02-2012 17:00;33.0
21-02-2012 18:00;28.0
21-02-2012 19:00;27.0
21-02-2012 20:00;26.0
21-02-2012 21:00;24.0
21-02-2012 22:00;27.0
21-02-2012 23:00;31.0
22-02-2012 0:00;45.0
22-02-2012 12:00;88.0
22-02-2012 13:00;71.0
22-02-2012 14:00;62.0
22-02-2012 15:00;55.0
22-02-2012 16:00;48.0
22-02-2012 17:00;45.0
22-02-2012 18:00;41.0
22-02-2012 19:00;37.0
22-02-2012 20:00;31.0
22-02-2012 21:00;47.0
22-02-2012 22:00;31.0
22-02-2012 23:00;35.0
23-02-2012 0:00;42.0
23-02-2012 12:00;97.0
23-02-2012 13:00;87.0
23-02-2012 14:00;76.0
23-02-2012 15:00;66.0
23-02-2012 16:00;57.0
23-02-2012 17:00;47.0
23-02-2012 18:00;40.0
23-02-2012 19:00;38.0
23-02-2012 20:00;35.0
23-02-2012 21:00;32.0
23-02-2012 22:00;30.0
23-02-2012 23:00;39.0
24-02-2012 0:00;47.0
24-02-2012 12:00;97.0
24-02-2012 13:00;88.0
24-02-2012 14:00;82.0
24-02-2012 15:00;74.0
24-02-2012 16:00;67.0
24-02-2012 17:00;64.0
24-02-2012 18:00;64.0
24-02-2012 19:00;64.0
24-02-2012 20:00;62.0
24-02-2012 21:00;64.0
24-02-2012 22:00;64.0
24-02-2012 23:00;73.0
25-02-2012 0:00;84.0
25-02-2012 12:00;98.0
25-02-2012 13:00;93.0
25-02-2012 14:00;87.0
25-02-2012 15:00;63.0
25-02-2012 16:00;85.0
25-02-2012 17:00;62.0
25-02-2012 18:00;53.0
25-02-2012 19:00;68.0
25-02-2012 20:00;57.0
25-02-2012 21:00;58.0
25-02-2012 22:00;47.0
25-02-2012 23:00;52.0
26-02-2012 0:00;65.0
26-02-2012 12:00;98.0
26-02-2012 13:00;94.0
26-02-2012 14:00;77.0
