momento;valor_humedad
01-01-2023 0:00;63.0
01-01-2023 1:00;69.0
01-01-2023 6:00;75.0
01-01-2023 12:00;77.0
01-01-2023 13:00;67.0
01-01-2023 14:00;62.0
01-01-2023 15:00;59.0
01-01-2023 16:00;54.0
01-01-2023 17:00;45.0
01-01-2023 18:00;38.0
01-01-2023 19:00;34.0
01-01-2023 20:00;32.0
01-01-2023 21:00;32.0
02-01-2023 0:00;51.0
02-01-2023 6:00;82.0
02-01-2023 12:00;62.0
02-01-2023 13:00;52.0
02-01-2023 14:00;49.0
02-01-2023 15:00;46.0
02-01-2023 16:00;42.0
02-01-2023 17:00;37.0
02-01-2023 18:00;33.0
02-01-2023 19:00;29.0
02-01-2023 20:00;27.0
02-01-2023 21:00;22.0
03-01-2023 0:00;
03-01-2023 6:00;
03-01-2023 12:00;68.0
03-01-2023 13:00;53.0
03-01-2023 14:00;47.0
03-01-2023 15:00;42.0
03-01-2023 16:00;39.0
03-01-2023 17:00;33.0
03-01-2023 18:00;33.0
03-01-2023 19:00;32.0
03-01-2023 20:00;29.0
03-01-2023 21:00;30.0
03-01-2023 22:00;31.0
03-01-2023 23:00;34.0
04-01-2023 0:00;
04-01-2023 6:00;
04-01-2023 12:00;65.0
04-01-2023 13:00;60.0
04-01-2023 14:00;54.0
04-01-2023 15:00;45.0
04-01-2023 16:00;41.0
04-01-2023 17:00;39.0
04-01-2023 18:00;37.0
04-01-2023 19:00;36.0
04-01-2023 20:00;31.0
05-01-2023 0:00;38.0
05-01-2023 6:00;70.0
05-01-2023 12:00;74.0
05-01-2023 13:00;69.0
05-01-2023 14:00;63.0
05-01-2023 15:00;55.0
05-01-2023 16:00;53.0
05-01-2023 17:00;47.0
05-01-2023 18:00;41.0
05-01-2023 19:00;37.0
05-01-2023 20:00;35.0
06-01-2023 0:00;
06-01-2023 6:00;
06-01-2023 12:00;84.0
06-01-2023 13:00;70.0
06-01-2023 14:00;66.0
06-01-2023 15:00;60.0
06-01-2023 16:00;53.0
06-01-2023 17:00;49.0
06-01-2023 18:00;44.0
06-01-2023 19:00;38.0
