momento;valor_puntoRocio
01-01-2011 12:00;7.9
01-01-2011 15:00;15.6
01-01-2011 18:00;17.4
01-01-2011 21:00;15.2
02-01-2011 12:00;13.4
02-01-2011 15:00;13.8
02-01-2011 18:00;13.0
02-01-2011 21:00;11.0
03-01-2011 12:00;11.7
03-01-2011 15:00;10.9
03-01-2011 18:00;10.1
03-01-2011 21:00;11.6
04-01-2011 12:00;13.5
04-01-2011 15:00;13.0
04-01-2011 18:00;11.7
04-01-2011 21:00;12.2
05-01-2011 12:00;12.4
05-01-2011 15:00;13.3
05-01-2011 18:00;13.2
05-01-2011 21:00;13.7
06-01-2011 12:00;13.6
06-01-2011 15:00;14.6
06-01-2011 18:00;14.5
06-01-2011 21:00;13.1
07-01-2011 12:00;12.9
07-01-2011 15:00;13.9
07-01-2011 18:00;13.0
07-01-2011 21:00;13.8
08-01-2011 12:00;12.2
08-01-2011 15:00;13.7
08-01-2011 18:00;10.7
08-01-2011 21:00;12.2
09-01-2011 12:00;10.5
09-01-2011 15:00;12.7
09-01-2011 18:00;14.0
09-01-2011 21:00;14.1
10-01-2011 12:00;12.2
10-01-2011 15:00;12.9
10-01-2011 18:00;12.1
10-01-2011 21:00;13.2
11-01-2011 12:00;10.5
11-01-2011 15:00;11.4
11-01-2011 18:00;13.6
11-01-2011 21:00;10.5
12-01-2011 12:00;12.9
12-01-2011 15:00;13.0
12-01-2011 18:00;11.6
12-01-2011 21:00;10.2
13-01-2011 12:00;11.0
13-01-2011 15:00;13.0
13-01-2011 18:00;14.0
14-01-2011 12:00;11.5
14-01-2011 15:00;12.9
14-01-2011 18:00;12.6
15-01-2011 0:00;10.2
15-01-2011 12:00;6.1
15-01-2011 18:00;7.4
16-01-2011 0:00;14.4
16-01-2011 12:00;11.0
16-01-2011 18:00;7.4
17-01-2011 0:00;8.8
17-01-2011 12:00;7.6
17-01-2011 15:00;7.4
17-01-2011 18:00;6.9
18-01-2011 12:00;10.1
18-01-2011 15:00;12.0
18-01-2011 18:00;10.4
19-01-2011 12:00;14.1
19-01-2011 15:00;10.7
19-01-2011 18:00;10.1
20-01-2011 12:00;10.3
20-01-2011 15:00;10.0
20-01-2011 18:00;10.7
21-01-2011 12:00;11.3
21-01-2011 15:00;12.9
21-01-2011 18:00;13.3
24-01-2011 12:00;15.5
24-01-2011 15:00;16.7
24-01-2011 18:00;16.9
25-01-2011 12:00;15.1
25-01-2011 15:00;16.0
25-01-2011 18:00;16.4
26-01-2011 12:00;13.2
26-01-2011 15:00;15.7
26-01-2011 18:00;15.9
27-01-2011 12:00;14.1
27-01-2011 15:00;15.8
27-01-2011 18:00;14.7
28-01-2011 12:00;10.1
28-01-2011 15:00;9.0
28-01-2011 18:00;11.9
31-01-2011 12:00;9.7
31-01-2011 15:00;8.2
31-01-2011 18:00;6.9
01-02-2011 12:00;8.0
01-02-2011 15:00;10.0
01-02-2011 18:00;7.1
02-02-2011 12:00;8.7
02-02-2011 15:00;13.3
02-02-2011 18:00;14.7
03-02-2011 12:00;9.7
03-02-2011 15:00;7.9
03-02-2011 18:00;7.1
03-02-2011 21:00;8.5
04-02-2011 12:00;10.2
04-02-2011 15:00;9.2
04-02-2011 18:00;10.8
04-02-2011 21:00;7.5
05-02-2011 12:00;9.6
05-02-2011 15:00;9.7
05-02-2011 18:00;11.4
05-02-2011 21:00;12.8
06-02-2011 12:00;10.2
06-02-2011 15:00;12.3
06-02-2011 18:00;13.3
06-02-2011 20:00;12.9
06-02-2011 21:00;13.0
07-02-2011 12:00;10.8
07-02-2011 15:00;12.7
07-02-2011 18:00;11.1
07-02-2011 21:00;12.0
08-02-2011 12:00;13.6
08-02-2011 15:00;15.2
08-02-2011 18:00;15.8
08-02-2011 21:00;12.7
09-02-2011 12:00;12.1
09-02-2011 15:00;14.0
09-02-2011 18:00;14.7
09-02-2011 21:00;13.4
10-02-2011 12:00;12.0
10-02-2011 15:00;13.9
10-02-2011 18:00;14.6
10-02-2011 21:00;14.6
11-02-2011 12:00;11.6
11-02-2011 15:00;11.8
11-02-2011 18:00;12.8
11-02-2011 21:00;14.1
12-02-2011 12:00;13.4
12-02-2011 15:00;15.4
12-02-2011 18:00;16.4
12-02-2011 21:00;15.9
13-02-2011 12:00;13.3
13-02-2011 15:00;14.2
13-02-2011 18:00;13.6
13-02-2011 21:00;11.6
14-02-2011 12:00;9.9
14-02-2011 15:00;11.3
14-02-2011 18:00;13.4
14-02-2011 21:00;13.8
15-02-2011 12:00;13.3
15-02-2011 15:00;14.3
15-02-2011 18:00;15.5
15-02-2011 21:00;15.1
16-02-2011 12:00;11.3
16-02-2011 15:00;14.2
16-02-2011 18:00;14.5
16-02-2011 21:00;13.2
17-02-2011 12:00;8.4
17-02-2011 15:00;13.3
17-02-2011 18:00;12.2
17-02-2011 21:00;12.3
18-02-2011 12:00;10.2
18-02-2011 15:00;12.8
18-02-2011 18:00;13.1
18-02-2011 21:00;13.0
19-02-2011 12:00;12.1
19-02-2011 15:00;12.1
19-02-2011 18:00;12.3
19-02-2011 21:00;13.9
20-02-2011 12:00;12.2
20-02-2011 15:00;13.5
20-02-2011 18:00;13.6
20-02-2011 21:00;13.8
21-02-2011 12:00;11.2
21-02-2011 15:00;12.8
21-02-2011 18:00;14.8
21-02-2011 21:00;13.8
22-02-2011 12:00;13.7
22-02-2011 15:00;15.4
22-02-2011 18:00;13.0
22-02-2011 21:00;12.6
23-02-2011 12:00;11.5
23-02-2011 15:00;10.4
23-02-2011 18:00;10.5
23-02-2011 21:00;11.4
24-02-2011 12:00;10.6
24-02-2011 15:00;12.4
24-02-2011 18:00;12.8
24-02-2011 21:00;12.2
25-02-2011 12:00;10.2
25-02-2011 15:00;13.5
25-02-2011 18:00;12.5
25-02-2011 21:00;10.5
26-02-2011 12:00;9.9
26-02-2011 15:00;12.5
26-02-2011 18:00;13.1
26-02-2011 21:00;11.0
27-02-2011 12:00;9.3
27-02-2011 15:00;11.3
27-02-2011 18:00;11.0
27-02-2011 21:00;8.0
28-02-2011 12:00;9.4
28-02-2011 15:00;10.9
28-02-2011 18:00;11.4
28-02-2011 21:00;12.2
10-05-2011 12:00;2.0
01-06-2011 13:00;3.6
01-06-2011 14:00;6.0
01-06-2011 14:05;6.0
01-06-2011 15:00;5.6
01-06-2011 15:25;6.2
01-06-2011 16:00;6.0
01-06-2011 17:00;6.8
01-06-2011 18:00;7.4
01-06-2011 19:00;7.7
01-06-2011 20:00;8.1
01-06-2011 21:00;7.9
01-06-2011 22:00;7.4
02-06-2011 13:00;5.6
02-06-2011 14:00;6.6
02-06-2011 15:00;8.1
02-06-2011 16:00;7.6
02-06-2011 17:00;7.2
02-06-2011 18:00;7.8
02-06-2011 19:00;7.5
02-06-2011 20:00;9.4
02-06-2011 21:00;9.7
02-06-2011 22:00;6.6
03-06-2011 13:00;5.3
03-06-2011 14:00;7.9
03-06-2011 15:00;9.3
03-06-2011 16:00;9.2
03-06-2011 17:00;10.1
03-06-2011 18:00;11.2
03-06-2011 19:00;10.8
03-06-2011 20:00;10.8
03-06-2011 21:00;11.3
03-06-2011 22:00;11.0
04-06-2011 13:00;7.6
04-06-2011 14:00;7.9
04-06-2011 15:00;8.2
04-06-2011 16:00;7.8
04-06-2011 17:00;9.1
04-06-2011 18:00;9.3
04-06-2011 19:00;9.6
04-06-2011 20:00;10.0
04-06-2011 21:00;12.0
04-06-2011 22:00;11.5
05-06-2011 12:00;
05-06-2011 13:00;10.2
05-06-2011 14:00;10.4
05-06-2011 15:00;10.4
05-06-2011 16:00;11.5
05-06-2011 17:00;10.5
05-06-2011 18:00;10.2
05-06-2011 19:00;10.9
05-06-2011 20:00;11.7
05-06-2011 21:00;12.1
05-06-2011 22:00;11.0
06-06-2011 12:00;
06-06-2011 13:00;8.2
06-06-2011 14:00;8.9
06-06-2011 15:00;9.4
06-06-2011 16:00;9.0
06-06-2011 17:00;8.9
06-06-2011 18:00;10.3
06-06-2011 19:00;10.2
06-06-2011 20:00;10.2
06-06-2011 21:00;10.2
06-06-2011 22:00;10.6
07-06-2011 13:00;10.6
07-06-2011 14:00;10.6
07-06-2011 15:00;10.5
07-06-2011 16:00;10.9
07-06-2011 17:00;10.8
07-06-2011 18:00;10.9
07-06-2011 19:00;11.0
07-06-2011 20:00;12.3
07-06-2011 21:00;12.2
07-06-2011 22:00;10.7
08-06-2011 13:00;10.2
08-06-2011 14:00;11.1
08-06-2011 15:00;11.2
08-06-2011 16:00;11.7
08-06-2011 17:00;10.7
08-06-2011 18:00;10.6
08-06-2011 19:00;1.9
08-06-2011 20:00;8.5
08-06-2011 21:00;8.9
08-06-2011 22:00;10.3
09-06-2011 13:00;8.0
09-06-2011 14:00;8.1
09-06-2011 15:00;8.1
09-06-2011 16:00;8.1
09-06-2011 17:00;8.9
09-06-2011 18:00;8.9
09-06-2011 19:00;9.4
09-06-2011 20:00;9.4
09-06-2011 21:00;10.3
09-06-2011 22:00;11.3
10-06-2011 13:00;4.4
10-06-2011 14:00;5.1
10-06-2011 15:00;9.4
10-06-2011 16:00;9.8
10-06-2011 17:00;9.4
10-06-2011 18:00;9.6
10-06-2011 19:00;10.8
10-06-2011 20:00;11.6
10-06-2011 21:00;12.0
10-06-2011 22:00;12.3
11-06-2011 13:00;8.8
11-06-2011 14:00;9.4
11-06-2011 15:00;10.4
11-06-2011 16:00;10.8
11-06-2011 17:00;11.0
11-06-2011 18:00;10.4
11-06-2011 19:00;11.3
11-06-2011 20:00;11.3
11-06-2011 21:00;11.3
11-06-2011 22:00;10.3
12-06-2011 13:00;2.1
12-06-2011 14:00;5.6
12-06-2011 15:00;6.2
12-06-2011 16:00;5.5
12-06-2011 17:00;5.1
12-06-2011 18:00;6.3
12-06-2011 19:00;6.5
12-06-2011 20:00;6.0
12-06-2011 21:00;6.2
12-06-2011 22:00;6.7
13-06-2011 13:00;0.1
13-06-2011 14:00;1.5
13-06-2011 15:00;1.9
13-06-2011 16:00;2.4
13-06-2011 17:00;2.8
13-06-2011 18:00;3.6
13-06-2011 19:00;4.0
13-06-2011 20:00;3.2
13-06-2011 21:00;4.9
13-06-2011 22:00;6.1
14-06-2011 13:00;0.8
14-06-2011 14:00;2.4
14-06-2011 15:00;3.2
14-06-2011 16:00;4.4
14-06-2011 17:00;4.6
14-06-2011 18:00;4.8
14-06-2011 19:00;5.2
14-06-2011 20:00;5.0
14-06-2011 21:00;5.2
14-06-2011 22:00;4.1
15-06-2011 13:00;4.6
15-06-2011 14:00;5.0
15-06-2011 15:00;6.4
15-06-2011 16:00;6.6
15-06-2011 17:00;6.3
15-06-2011 18:00;4.9
15-06-2011 19:00;4.9
15-06-2011 20:00;4.3
15-06-2011 21:00;7.4
15-06-2011 22:00;7.4
16-06-2011 13:00;7.2
16-06-2011 14:00;8.0
16-06-2011 15:00;8.1
16-06-2011 16:00;7.9
16-06-2011 17:00;9.1
16-06-2011 18:00;
16-06-2011 19:00;
16-06-2011 20:00;
16-06-2011 21:00;9.2
16-06-2011 22:00;8.7
17-06-2011 13:00;6.8
17-06-2011 14:00;8.7
17-06-2011 15:00;8.1
17-06-2011 16:00;8.6
17-06-2011 17:00;8.6
17-06-2011 18:00;8.1
17-06-2011 19:00;7.3
17-06-2011 20:00;7.3
17-06-2011 21:00;7.5
17-06-2011 22:00;7.6
18-06-2011 15:00;
20-06-2011 13:00;8.5
20-06-2011 14:00;8.5
20-06-2011 15:00;8.5
20-06-2011 16:00;7.7
20-06-2011 17:00;7.7
20-06-2011 18:00;8.4
20-06-2011 19:00;7.9
20-06-2011 20:00;8.7
20-06-2011 21:00;8.9
20-06-2011 22:00;9.3
21-06-2011 13:00;5.8
21-06-2011 14:00;6.8
21-06-2011 15:00;8.0
21-06-2011 16:00;8.7
21-06-2011 17:00;8.8
21-06-2011 18:00;8.3
21-06-2011 19:00;8.3
21-06-2011 20:00;8.3
21-06-2011 21:00;8.6
21-06-2011 22:00;8.7
22-06-2011 13:00;3.4
22-06-2011 14:00;3.6
22-06-2011 15:00;2.7
22-06-2011 16:00;4.4
22-06-2011 17:00;4.4
22-06-2011 18:00;5.2
22-06-2011 19:00;5.8
22-06-2011 20:00;6.0
22-06-2011 21:00;6.0
22-06-2011 22:00;6.0
23-06-2011 13:00;4.6
23-06-2011 14:00;5.2
23-06-2011 15:00;4.0
23-06-2011 16:00;4.5
23-06-2011 17:00;3.8
23-06-2011 18:00;4.7
23-06-2011 19:00;5.2
23-06-2011 20:00;
23-06-2011 21:00;6.1
23-06-2011 22:00;6.0
24-06-2011 13:00;2.7
24-06-2011 14:00;3.6
24-06-2011 15:00;3.6
24-06-2011 16:00;3.5
24-06-2011 17:00;4.0
24-06-2011 18:00;2.8
24-06-2011 19:00;1.8
24-06-2011 20:00;2.3
24-06-2011 21:00;2.3
24-06-2011 22:00;2.9
25-06-2011 13:00;-1.1
25-06-2011 14:00;0.0
25-06-2011 15:00;0.1
25-06-2011 16:00;-0.1
25-06-2011 17:00;0.3
25-06-2011 18:00;0.7
25-06-2011 19:00;1.8
25-06-2011 20:00;2.0
25-06-2011 21:00;1.5
25-06-2011 22:00;4.0
26-06-2011 13:00;-1.0
26-06-2011 14:00;-0.1
26-06-2011 15:00;0.5
26-06-2011 16:00;0.5
26-06-2011 17:00;2.1
26-06-2011 18:00;3.5
26-06-2011 19:00;3.8
26-06-2011 20:00;4.2
26-06-2011 21:00;4.6
26-06-2011 22:00;6.5
27-06-2011 13:00;1.2
27-06-2011 14:00;4.1
27-06-2011 15:00;4.5
27-06-2011 16:00;7.1
27-06-2011 17:00;8.1
27-06-2011 18:00;8.0
27-06-2011 19:00;8.1
27-06-2011 20:00;7.6
27-06-2011 21:00;7.9
27-06-2011 22:00;9.5
28-06-2011 13:00;7.4
28-06-2011 14:00;7.4
28-06-2011 15:00;7.9
28-06-2011 16:00;7.7
28-06-2011 17:00;6.7
28-06-2011 18:00;6.8
28-06-2011 19:00;8.1
28-06-2011 20:00;8.7
28-06-2011 21:00;8.4
28-06-2011 22:00;8.4
29-06-2011 13:00;9.6
29-06-2011 14:00;10.6
29-06-2011 15:00;11.5
29-06-2011 16:00;11.7
29-06-2011 17:00;10.5
29-06-2011 18:00;9.5
29-06-2011 19:00;7.0
29-06-2011 20:00;9.1
29-06-2011 21:00;6.3
29-06-2011 22:00;5.4
30-06-2011 13:00;-2.1
30-06-2011 14:00;0.4
30-06-2011 15:00;1.6
30-06-2011 16:00;0.9
30-06-2011 17:00;1.8
30-06-2011 18:00;1.0
30-06-2011 19:00;1.5
30-06-2011 20:00;1.5
30-06-2011 21:00;1.0
30-06-2011 22:00;2.9
01-07-2011 12:00;
01-07-2011 13:00;-0.5
01-07-2011 14:00;1.0
01-07-2011 15:00;2.4
01-07-2011 16:00;3.1
01-07-2011 17:00;4.2
01-07-2011 18:00;2.8
01-07-2011 19:00;1.5
01-07-2011 20:00;3.1
01-07-2011 21:00;3.1
01-07-2011 22:00;-2.6
02-07-2011 0:00;
02-07-2011 12:00;
02-07-2011 13:00;-1.7
02-07-2011 14:00;-1.5
02-07-2011 15:00;-0.7
02-07-2011 16:00;-0.3
02-07-2011 17:00;0.6
02-07-2011 17:27;1.0
02-07-2011 18:00;1.9
02-07-2011 19:00;3.0
02-07-2011 20:00;2.3
02-07-2011 21:00;2.8
02-07-2011 22:00;3.8
03-07-2011 0:00;
03-07-2011 6:00;
03-07-2011 12:00;
03-07-2011 13:00;-2.5
03-07-2011 14:00;-1.2
03-07-2011 15:00;-0.7
03-07-2011 16:00;0.2
03-07-2011 17:00;1.3
03-07-2011 18:00;1.5
03-07-2011 19:00;3.2
03-07-2011 20:00;4.1
03-07-2011 21:00;4.3
03-07-2011 22:00;5.3
04-07-2011 0:00;
04-07-2011 6:00;
04-07-2011 12:00;
04-07-2011 13:00;
04-07-2011 14:00;0.3
04-07-2011 15:00;3.3
04-07-2011 16:00;4.0
04-07-2011 17:00;4.7
04-07-2011 18:00;4.3
04-07-2011 19:00;2.9
04-07-2011 20:00;3.1
04-07-2011 21:00;3.1
04-07-2011 22:00;6.5
05-07-2011 0:00;
05-07-2011 6:00;
05-07-2011 12:00;
05-07-2011 13:00;4.0
05-07-2011 14:00;4.1
05-07-2011 15:00;4.7
05-07-2011 16:00;5.6
05-07-2011 17:00;5.8
05-07-2011 18:00;4.9
05-07-2011 19:00;3.8
05-07-2011 20:00;4.7
05-07-2011 21:00;5.4
05-07-2011 22:00;4.9
06-07-2011 0:00;
06-07-2011 12:00;
06-07-2011 13:00;1.5
06-07-2011 14:00;1.5
06-07-2011 15:00;1.9
06-07-2011 16:00;2.1
06-07-2011 17:00;2.3
06-07-2011 18:00;2.8
06-07-2011 19:00;2.5
06-07-2011 20:00;2.7
06-07-2011 21:00;2.7
06-07-2011 22:00;3.0
07-07-2011 0:00;
07-07-2011 12:00;
07-07-2011 13:00;-1.3
07-07-2011 14:00;-0.3
07-07-2011 15:00;0.9
07-07-2011 16:00;2.3
07-07-2011 17:00;3.7
07-07-2011 18:00;4.0
07-07-2011 19:00;5.4
07-07-2011 20:00;5.9
07-07-2011 21:00;7.2
07-07-2011 22:00;7.1
08-07-2011 0:00;
08-07-2011 12:00;
08-07-2011 13:00;3.4
08-07-2011 14:00;4.0
08-07-2011 15:00;4.4
08-07-2011 16:00;
08-07-2011 17:00;5.6
08-07-2011 18:00;6.6
08-07-2011 19:00;7.2
08-07-2011 20:00;7.2
08-07-2011 21:00;7.5
08-07-2011 22:00;7.2
09-07-2011 0:00;
09-07-2011 12:00;
09-07-2011 13:00;7.9
09-07-2011 14:00;7.9
09-07-2011 15:00;8.6
09-07-2011 16:00;9.2
09-07-2011 17:00;9.2
09-07-2011 18:00;10.1
09-07-2011 19:00;10.4
09-07-2011 20:00;10.4
09-07-2011 21:00;10.0
09-07-2011 22:00;
10-07-2011 0:00;
10-07-2011 12:00;
10-07-2011 13:00;9.1
10-07-2011 14:00;10.9
10-07-2011 15:00;10.6
10-07-2011 16:00;11.2
10-07-2011 17:00;10.9
10-07-2011 18:00;11.0
10-07-2011 19:00;10.8
10-07-2011 20:00;11.0
10-07-2011 21:00;10.8
10-07-2011 22:00;11.7
11-07-2011 0:00;
11-07-2011 12:00;
11-07-2011 13:00;9.1
11-07-2011 14:00;9.5
11-07-2011 15:00;9.7
11-07-2011 16:00;10.1
11-07-2011 17:00;10.1
11-07-2011 18:00;10.5
11-07-2011 19:00;10.7
11-07-2011 20:00;10.7
11-07-2011 21:00;10.7
11-07-2011 22:00;10.8
12-07-2011 0:00;
12-07-2011 12:00;
12-07-2011 13:00;9.9
12-07-2011 14:00;10.7
12-07-2011 15:00;12.2
12-07-2011 16:00;9.2
12-07-2011 17:00;9.3
12-07-2011 18:00;8.9
12-07-2011 19:00;8.5
12-07-2011 20:00;8.3
12-07-2011 21:00;6.8
12-07-2011 22:00;8.7
13-07-2011 0:00;
13-07-2011 12:00;
13-07-2011 13:00;1.5
13-07-2011 14:00;4.5
13-07-2011 15:00;6.2
13-07-2011 16:00;7.1
13-07-2011 17:00;7.9
13-07-2011 18:00;7.8
13-07-2011 19:00;8.5
13-07-2011 20:00;7.4
13-07-2011 21:00;7.2
13-07-2011 22:00;7.3
14-07-2011 0:00;
14-07-2011 12:00;
14-07-2011 13:00;6.8
14-07-2011 14:00;6.6
14-07-2011 15:00;6.8
14-07-2011 16:00;6.8
