momento;Td_Valor
01-01-2023 0:00;12.3
01-01-2023 1:00;12.4
01-01-2023 6:00;11.3
01-01-2023 12:00;12.5
01-01-2023 13:00;12.0
01-01-2023 14:00;11.9
01-01-2023 15:00;12.2
01-01-2023 16:00;11.6
01-01-2023 17:00;11.1
01-01-2023 18:00;9.9
01-01-2023 19:00;8.5
01-01-2023 20:00;8.2
01-01-2023 21:00;8.7
02-01-2023 0:00;11.7
02-01-2023 6:00;10.2
02-01-2023 12:00;7.1
02-01-2023 13:00;7.2
02-01-2023 14:00;7.9
02-01-2023 15:00;8.7
02-01-2023 16:00;9.3
02-01-2023 17:00;8.6
02-01-2023 18:00;8.1
02-01-2023 19:00;6.6
02-01-2023 20:00;6.3
02-01-2023 21:00;3.4
03-01-2023 0:00;
03-01-2023 6:00;
03-01-2023 12:00;8.8
03-01-2023 13:00;8.5
03-01-2023 14:00;8.4
03-01-2023 15:00;8.2
03-01-2023 16:00;8.6
03-01-2023 17:00;7.7
03-01-2023 18:00;8.2
03-01-2023 19:00;8.8
03-01-2023 20:00;8.2
03-01-2023 21:00;9.0
03-01-2023 22:00;9.4
03-01-2023 23:00;9.9
04-01-2023 0:00;
04-01-2023 6:00;
04-01-2023 12:00;10.3
04-01-2023 13:00;11.2
04-01-2023 14:00;11.7
04-01-2023 15:00;11.9
04-01-2023 16:00;12.6
04-01-2023 17:00;13.0
04-01-2023 18:00;13.6
04-01-2023 19:00;14.0
04-01-2023 20:00;12.7
05-01-2023 0:00;14.0
05-01-2023 6:00;11.8
05-01-2023 12:00;12.2
05-01-2023 13:00;12.6
05-01-2023 14:00;12.9
05-01-2023 15:00;13.1
05-01-2023 16:00;13.8
05-01-2023 17:00;13.8
05-01-2023 18:00;12.8
05-01-2023 19:00;12.7
05-01-2023 20:00;12.7
06-01-2023 0:00;
06-01-2023 6:00;
06-01-2023 12:00;13.2
06-01-2023 13:00;13.8
06-01-2023 14:00;14.1
06-01-2023 15:00;14.8
06-01-2023 16:00;14.5
06-01-2023 17:00;15.3
06-01-2023 18:00;15.1
06-01-2023 19:00;14.4
06-01-2023 20:00;13.7
07-01-2023 0:00;
07-01-2023 6:00;
07-01-2023 12:00;12.7
07-01-2023 13:00;12.8
07-01-2023 14:00;13.3
07-01-2023 15:00;14.2
07-01-2023 16:00;13.9
07-01-2023 17:00;13.4
07-01-2023 18:00;12.5
07-01-2023 19:00;12.6
07-01-2023 20:00;13.0
08-01-2023 0:00;
08-01-2023 12:00;12.3
08-01-2023 13:00;13.0
08-01-2023 14:00;13.5
08-01-2023 15:00;13.8
08-01-2023 16:00;13.0
08-01-2023 17:00;12.3
08-01-2023 18:00;11.6
08-01-2023 19:00;9.9
08-01-2023 20:00;9.8
09-01-2023 0:00;
09-01-2023 12:00;12.2
09-01-2023 13:00;12.3
09-01-2023 14:00;12.5
09-01-2023 15:00;12.7
09-01-2023 16:00;13.2
09-01-2023 17:00;13.7
09-01-2023 18:00;13.9
09-01-2023 19:00;14.3
09-01-2023 20:00;12.5
10-01-2023 0:00;
10-01-2023 12:00;13.4
10-01-2023 13:00;13.6
10-01-2023 14:00;13.6
10-01-2023 15:00;13.5
10-01-2023 16:00;12.6
10-01-2023 17:00;11.4
10-01-2023 18:00;10.9
10-01-2023 19:00;11.5
10-01-2023 20:00;11.1
11-01-2023 0:00;
11-01-2023 6:00;
11-01-2023 12:00;4.4
11-01-2023 13:00;3.7
11-01-2023 14:00;2.7
11-01-2023 15:00;2.8
11-01-2023 16:00;2.6
11-01-2023 17:00;1.7
11-01-2023 18:00;0.3
11-01-2023 19:00;0.1
11-01-2023 20:00;-0.4
12-01-2023 0:00;
12-01-2023 6:00;
12-01-2023 12:00;6.3
12-01-2023 13:00;6.9
12-01-2023 14:00;7.4
12-01-2023 15:00;7.3
12-01-2023 16:00;7.1
12-01-2023 17:00;7.6
12-01-2023 18:00;6.3
12-01-2023 19:00;4.7
12-01-2023 20:00;2.6
13-01-2023 0:00;
13-01-2023 6:00;
13-01-2023 12:00;8.1
13-01-2023 13:00;8.8
13-01-2023 14:00;8.7
13-01-2023 15:00;8.5
13-01-2023 16:00;7.6
13-01-2023 17:00;8.7
13-01-2023 18:00;6.4
13-01-2023 19:00;4.5
13-01-2023 20:00;4.0
14-01-2023 0:00;
14-01-2023 6:00;
14-01-2023 12:00;8.8
14-01-2023 13:00;9.4
14-01-2023 14:00;9.5
14-01-2023 15:00;10.2
14-01-2023 16:00;9.9
14-01-2023 17:00;10.1
14-01-2023 18:00;10.6
14-01-2023 19:00;9.2
14-01-2023 20:00;9.0
15-01-2023 0:00;
15-01-2023 6:00;
15-01-2023 12:00;10.2
15-01-2023 13:00;10.0
15-01-2023 14:00;10.1
15-01-2023 15:00;9.7
15-01-2023 16:00;9.8
15-01-2023 17:00;6.7
15-01-2023 18:00;6.4
15-01-2023 19:00;3.9
15-01-2023 20:00;2.8
15-01-2023 21:00;4.1
15-01-2023 22:00;3.3
15-01-2023 23:00;3.4
16-01-2023 0:00;9.2
16-01-2023 12:00;6.9
16-01-2023 13:00;7.4
16-01-2023 14:00;7.7
16-01-2023 15:00;8.3
16-01-2023 16:00;9.0
16-01-2023 17:00;8.5
16-01-2023 18:00;8.2
16-01-2023 19:00;5.5
16-01-2023 20:00;6.0
17-01-2023 11:00;
17-01-2023 12:00;9.0
17-01-2023 13:00;9.4
17-01-2023 14:00;9.6
17-01-2023 15:00;9.4
17-01-2023 16:00;7.9
17-01-2023 17:00;8.5
17-01-2023 18:00;8.7
17-01-2023 19:00;7.2
17-01-2023 20:00;8.2
18-01-2023 12:00;9.1
18-01-2023 13:00;9.6
18-01-2023 14:00;10.2
18-01-2023 15:00;10.0
18-01-2023 16:00;10.0
18-01-2023 17:00;10.6
18-01-2023 18:00;7.5
18-01-2023 19:00;7.4
18-01-2023 20:00;7.5
18-01-2023 21:00;8.0
18-01-2023 21:15;9.1
18-01-2023 22:00;7.8
19-01-2023 0:00;
19-01-2023 6:00;
19-01-2023 12:00;11.1
19-01-2023 13:00;11.8
19-01-2023 14:00;12.1
19-01-2023 15:00;11.4
19-01-2023 16:00;10.6
19-01-2023 17:00;10.5
19-01-2023 18:00;10.5
19-01-2023 19:00;11.9
19-01-2023 20:00;11.9
19-01-2023 21:00;10.7
20-01-2023 12:00;10.5
20-01-2023 13:00;10.6
20-01-2023 14:00;10.6
20-01-2023 15:00;11.1
20-01-2023 16:00;11.4
20-01-2023 17:00;10.7
20-01-2023 18:00;11.3
20-01-2023 19:00;10.9
20-01-2023 20:00;10.5
21-01-2023 12:00;10.5
21-01-2023 13:00;10.6
21-01-2023 14:00;11.0
21-01-2023 15:00;11.6
21-01-2023 16:00;11.4
21-01-2023 17:00;9.4
21-01-2023 18:00;9.2
21-01-2023 19:00;7.5
21-01-2023 20:00;6.7
22-01-2023 6:00;
22-01-2023 12:00;10.9
22-01-2023 13:00;11.3
22-01-2023 14:00;11.5
22-01-2023 15:00;9.8
22-01-2023 16:00;10.5
22-01-2023 17:00;9.4
22-01-2023 18:00;6.1
22-01-2023 19:00;5.4
22-01-2023 20:00;6.5
22-01-2023 21:00;5.9
23-01-2023 0:00;
23-01-2023 12:00;10.4
23-01-2023 13:00;9.8
23-01-2023 14:00;8.8
23-01-2023 15:00;10.5
23-01-2023 16:00;10.9
23-01-2023 17:00;9.0
23-01-2023 18:00;8.0
23-01-2023 19:00;6.9
23-01-2023 20:00;8.9
23-01-2023 21:00;7.9
23-01-2023 22:00;9.4
23-01-2023 23:00;9.9
24-01-2023 0:00;10.4
24-01-2023 12:00;15.0
24-01-2023 13:00;13.7
24-01-2023 14:00;12.9
24-01-2023 15:00;11.4
24-01-2023 16:00;11.3
24-01-2023 17:00;12.3
24-01-2023 18:00;11.1
24-01-2023 19:00;10.6
24-01-2023 20:00;10.5
25-01-2023 0:00;
25-01-2023 6:00;
25-01-2023 12:00;6.9
25-01-2023 13:00;7.4
25-01-2023 14:00;7.8
25-01-2023 15:00;7.8
25-01-2023 16:00;7.1
25-01-2023 17:00;7.0
25-01-2023 18:00;5.4
25-01-2023 19:00;4.8
25-01-2023 20:00;4.3
26-01-2023 0:00;
26-01-2023 12:00;8.2
26-01-2023 13:00;8.2
26-01-2023 14:00;8.8
26-01-2023 15:00;8.6
26-01-2023 16:00;8.2
26-01-2023 17:00;7.4
26-01-2023 18:00;7.8
26-01-2023 19:00;5.6
26-01-2023 20:00;5.7
27-01-2023 12:00;7.5
27-01-2023 13:00;8.1
27-01-2023 14:00;8.5
27-01-2023 15:00;8.4
27-01-2023 16:00;7.8
27-01-2023 17:00;6.9
27-01-2023 18:00;6.3
27-01-2023 19:00;4.4
27-01-2023 20:00;3.7
28-01-2023 0:00;
28-01-2023 6:00;
28-01-2023 12:00;8.5
28-01-2023 13:00;8.7
28-01-2023 14:00;9.1
28-01-2023 15:00;8.3
28-01-2023 16:00;9.0
28-01-2023 17:00;8.9
28-01-2023 18:00;9.6
28-01-2023 19:00;10.2
28-01-2023 20:00;8.8
29-01-2023 0:00;
29-01-2023 12:00;12.9
29-01-2023 13:00;12.9
29-01-2023 14:00;13.3
29-01-2023 15:00;13.4
29-01-2023 16:00;13.4
29-01-2023 17:00;13.8
29-01-2023 18:00;13.8
29-01-2023 19:00;13.6
29-01-2023 20:00;13.3
30-01-2023 0:00;
30-01-2023 12:00;14.1
30-01-2023 13:00;14.9
30-01-2023 14:00;14.6
30-01-2023 15:00;14.5
30-01-2023 16:00;14.6
30-01-2023 17:00;14.0
30-01-2023 18:00;13.4
30-01-2023 19:00;13.7
30-01-2023 20:00;10.5
30-01-2023 21:00;11.5
30-01-2023 22:00;11.5
31-01-2023 0:00;
31-01-2023 6:00;
31-01-2023 12:00;7.8
31-01-2023 13:00;7.7
31-01-2023 14:00;8.4
31-01-2023 15:00;9.5
31-01-2023 16:00;10.0
31-01-2023 17:00;10.7
31-01-2023 18:00;11.0
31-01-2023 19:00;11.1
31-01-2023 20:00;10.1
01-02-2023 0:00;
01-02-2023 6:00;
01-02-2023 12:00;9.8
01-02-2023 13:00;10.7
01-02-2023 14:00;11.2
01-02-2023 15:00;11.3
01-02-2023 16:00;11.9
01-02-2023 17:00;11.9
01-02-2023 18:00;8.8
01-02-2023 19:00;8.7
01-02-2023 20:00;7.9
02-02-2023 0:00;
02-02-2023 6:00;
02-02-2023 12:00;8.1
02-02-2023 13:00;8.5
02-02-2023 14:00;8.7
02-02-2023 15:00;8.3
02-02-2023 16:00;7.9
02-02-2023 17:00;8.6
02-02-2023 18:00;8.2
02-02-2023 19:00;7.2
02-02-2023 20:00;6.3
02-02-2023 21:00;6.8
02-02-2023 22:00;6.9
02-02-2023 23:00;8.2
03-02-2023 0:00;11.0
03-02-2023 2:00;10.2
03-02-2023 3:00;10.3
03-02-2023 4:00;10.0
03-02-2023 5:00;10.2
03-02-2023 6:00;10.3
03-02-2023 7:00;10.7
03-02-2023 8:00;10.6
03-02-2023 9:00;10.4
03-02-2023 10:00;10.5
03-02-2023 12:00;10.7
03-02-2023 13:00;11.2
03-02-2023 14:00;11.5
03-02-2023 15:00;12.3
03-02-2023 16:00;13.1
03-02-2023 17:00;13.3
03-02-2023 18:00;11.8
03-02-2023 19:00;10.0
03-02-2023 20:00;10.0
03-02-2023 21:00;8.6
03-02-2023 21:15;9.0
03-02-2023 21:25;13.0
03-02-2023 22:00;12.3
03-02-2023 23:00;11.0
04-02-2023 0:00;10.9
04-02-2023 1:00;11.3
04-02-2023 2:00;11.2
04-02-2023 3:00;11.4
04-02-2023 4:00;12.1
04-02-2023 5:00;12.5
04-02-2023 6:00;12.2
04-02-2023 7:00;12.1
04-02-2023 8:00;11.2
04-02-2023 9:00;10.6
04-02-2023 10:00;10.0
04-02-2023 11:00;10.6
04-02-2023 11:30;11.9
04-02-2023 12:00;12.4
04-02-2023 13:00;13.2
04-02-2023 13:31;12.7
04-02-2023 14:00;12.9
04-02-2023 14:09;13.2
04-02-2023 15:00;13.6
04-02-2023 16:00;13.3
04-02-2023 17:00;14.3
04-02-2023 18:00;13.5
04-02-2023 19:00;13.5
04-02-2023 19:35;14.7
04-02-2023 20:00;14.4
04-02-2023 21:00;14.7
04-02-2023 22:00;14.0
04-02-2023 23:00;14.2
05-02-2023 0:00;14.0
05-02-2023 1:00;13.9
05-02-2023 2:00;13.6
05-02-2023 3:00;13.4
05-02-2023 4:00;13.5
05-02-2023 5:00;13.4
05-02-2023 6:00;13.3
05-02-2023 7:00;12.9
05-02-2023 8:00;12.9
05-02-2023 9:00;12.6
05-02-2023 10:00;12.4
05-02-2023 11:00;12.5
05-02-2023 11:34;13.3
05-02-2023 12:00;13.6
05-02-2023 13:00;13.7
05-02-2023 14:00;13.7
05-02-2023 15:00;14.3
05-02-2023 16:00;14.4
05-02-2023 17:00;14.7
05-02-2023 18:00;15.0
05-02-2023 19:00;14.0
05-02-2023 20:00;13.5
05-02-2023 21:00;13.8
05-02-2023 21:17;16.0
05-02-2023 22:00;14.9
05-02-2023 23:00;14.5
06-02-2023 0:00;13.9
06-02-2023 1:00;13.6
06-02-2023 2:00;13.6
06-02-2023 3:00;13.7
06-02-2023 4:00;12.8
06-02-2023 5:00;13.9
06-02-2023 6:00;13.5
06-02-2023 7:00;13.2
06-02-2023 8:00;12.9
06-02-2023 9:00;12.7
06-02-2023 10:00;12.6
06-02-2023 11:00;12.8
06-02-2023 11:30;13.1
06-02-2023 12:00;13.2
06-02-2023 13:00;13.2
06-02-2023 14:00;13.1
06-02-2023 15:00;12.4
06-02-2023 16:00;12.7
06-02-2023 17:00;12.1
06-02-2023 18:00;11.8
06-02-2023 19:00;11.0
06-02-2023 20:00;10.0
06-02-2023 21:00;8.2
06-02-2023 22:00;9.2
06-02-2023 23:00;9.9
06-02-2023 23:05;27.0
06-02-2023 23:38;11.8
07-02-2023 0:00;12.0
07-02-2023 1:00;12.1
07-02-2023 2:00;11.8
07-02-2023 3:00;11.3
07-02-2023 4:00;11.0
07-02-2023 5:00;10.3
07-02-2023 6:00;9.9
07-02-2023 7:00;9.8
07-02-2023 8:00;9.6
07-02-2023 9:00;9.5
07-02-2023 10:00;9.1
07-02-2023 11:00;9.3
07-02-2023 11:34;9.8
07-02-2023 12:00;9.8
07-02-2023 13:00;10.5
07-02-2023 13:12;10.9
07-02-2023 14:00;11.0
07-02-2023 15:00;11.1
07-02-2023 16:00;10.9
07-02-2023 17:00;10.1
07-02-2023 18:00;7.7
07-02-2023 19:00;5.4
07-02-2023 20:00;1.9
07-02-2023 21:00;2.2
07-02-2023 22:00;4.2
07-02-2023 22:30;4.1
07-02-2023 23:00;3.5
08-02-2023 0:00;5.1
08-02-2023 1:00;9.4
08-02-2023 2:00;9.8
08-02-2023 3:00;8.0
08-02-2023 4:00;8.7
08-02-2023 5:00;9.7
08-02-2023 6:00;9.9
08-02-2023 7:00;9.7
08-02-2023 8:00;10.0
08-02-2023 9:00;9.9
08-02-2023 10:00;9.8
08-02-2023 11:00;10.2
08-02-2023 11:30;10.7
08-02-2023 12:00;10.7
08-02-2023 13:00;11.1
08-02-2023 14:00;10.8
08-02-2023 14:35;10.5
08-02-2023 15:00;10.6
08-02-2023 16:00;10.5
08-02-2023 17:00;10.8
08-02-2023 18:00;8.5
08-02-2023 18:30;6.4
08-02-2023 19:00;6.9
08-02-2023 20:00;4.1
08-02-2023 21:00;7.6
08-02-2023 21:30;
08-02-2023 21:35;10.8
08-02-2023 22:00;9.7
08-02-2023 22:30;7.9
08-02-2023 23:00;10.0
09-02-2023 0:00;11.3
09-02-2023 1:00;12.2
09-02-2023 2:00;11.1
09-02-2023 3:00;11.1
09-02-2023 4:00;10.7
09-02-2023 5:00;12.8
09-02-2023 6:00;11.9
09-02-2023 7:00;11.2
09-02-2023 8:00;10.8
09-02-2023 9:00;11.1
09-02-2023 10:00;11.3
09-02-2023 11:00;11.7
09-02-2023 11:30;11.9
09-02-2023 12:00;11.9
09-02-2023 13:00;12.3
09-02-2023 14:00;12.8
09-02-2023 15:00;12.4
09-02-2023 16:00;12.4
09-02-2023 17:00;12.2
09-02-2023 18:00;10.8
09-02-2023 19:00;7.4
09-02-2023 19:31;6.3
09-02-2023 20:00;6.3
09-02-2023 21:00;6.7
09-02-2023 22:00;3.6
09-02-2023 22:37;2.9
09-02-2023 23:00;9.0
10-02-2023 0:00;9.1
10-02-2023 1:00;11.9
10-02-2023 2:00;12.1
10-02-2023 3:00;12.7
10-02-2023 4:00;12.8
10-02-2023 5:00;12.9
10-02-2023 6:00;13.0
10-02-2023 7:00;13.1
10-02-2023 8:00;12.9
10-02-2023 9:00;12.9
10-02-2023 10:00;12.8
10-02-2023 11:00;12.9
10-02-2023 11:32;13.3
10-02-2023 12:00;13.2
10-02-2023 13:00;13.6
10-02-2023 14:00;13.5
10-02-2023 15:00;13.8
10-02-2023 16:00;13.7
10-02-2023 17:00;12.8
10-02-2023 18:00;8.2
10-02-2023 19:00;7.1
10-02-2023 20:00;8.8
10-02-2023 21:00;7.0
10-02-2023 22:00;9.7
10-02-2023 23:00;10.2
11-02-2023 0:00;10.9
11-02-2023 1:00;10.9
11-02-2023 2:00;10.5
11-02-2023 3:00;10.9
11-02-2023 4:00;11.3
11-02-2023 5:00;10.7
11-02-2023 6:00;9.6
11-02-2023 7:00;8.8
11-02-2023 8:00;8.4
11-02-2023 9:00;8.1
11-02-2023 10:00;8.5
11-02-2023 11:00;9.0
11-02-2023 11:30;9.3
11-02-2023 12:00;9.6
11-02-2023 13:00;10.4
11-02-2023 14:00;10.5
11-02-2023 15:00;10.5
11-02-2023 16:00;10.9
11-02-2023 17:00;10.4
11-02-2023 18:00;6.8
11-02-2023 19:00;3.5
11-02-2023 20:00;0.0
11-02-2023 21:00;-0.2
11-02-2023 22:00;7.1
11-02-2023 22:30;4.3
11-02-2023 23:00;4.0
12-02-2023 0:00;8.7
12-02-2023 1:00;9.5
12-02-2023 2:00;9.1
12-02-2023 3:00;9.8
12-02-2023 4:00;9.7
12-02-2023 5:00;9.0
12-02-2023 6:00;8.1
12-02-2023 7:00;7.9
12-02-2023 8:00;7.9
12-02-2023 9:00;7.4
12-02-2023 10:00;7.4
12-02-2023 11:00;7.8
12-02-2023 12:00;9.4
12-02-2023 12:17;9.8
12-02-2023 13:00;11.7
12-02-2023 14:00;14.2
12-02-2023 15:00;14.7
12-02-2023 16:00;15.1
12-02-2023 17:00;14.6
12-02-2023 18:00;14.4
12-02-2023 19:00;11.8
12-02-2023 20:00;11.3
12-02-2023 21:00;11.3
12-02-2023 22:00;11.4
12-02-2023 23:00;11.7
13-02-2023 0:00;10.7
13-02-2023 1:00;11.6
13-02-2023 2:00;11.6
13-02-2023 3:00;11.6
13-02-2023 4:00;9.8
13-02-2023 5:00;9.5
13-02-2023 6:00;8.9
13-02-2023 7:00;7.8
13-02-2023 8:00;9.1
13-02-2023 9:00;8.1
13-02-2023 10:00;9.2
13-02-2023 11:00;10.0
13-02-2023 12:00;11.7
13-02-2023 13:00;11.8
13-02-2023 14:00;12.1
13-02-2023 15:00;11.1
13-02-2023 16:00;11.0
13-02-2023 17:00;10.4
13-02-2023 18:00;7.8
13-02-2023 19:00;8.2
13-02-2023 20:00;5.3
13-02-2023 21:00;5.4
13-02-2023 22:00;6.4
13-02-2023 23:00;7.8
14-02-2023 0:00;7.9
14-02-2023 1:00;7.1
