momento;Ts_Valor
01-01-2011 12:00;9.2
01-01-2011 13:00;15.0
01-01-2011 14:00;15.6
01-01-2011 15:00;17.8
01-01-2011 16:00;21.2
01-01-2011 17:00;23.8
01-01-2011 18:00;26.4
01-01-2011 19:00;27.6
01-01-2011 20:00;28.8
01-01-2011 21:00;26.6
02-01-2011 12:00;15.2
02-01-2011 13:00;15.8
02-01-2011 14:00;17.0
02-01-2011 15:00;18.0
02-01-2011 16:00;19.4
02-01-2011 17:00;21.2
02-01-2011 18:00;23.6
02-01-2011 19:00;25.0
02-01-2011 20:00;24.4
02-01-2011 21:00;22.0
03-01-2011 12:00;17.4
03-01-2011 13:00;19.0
03-01-2011 14:00;20.6
03-01-2011 15:00;22.0
03-01-2011 16:00;23.0
03-01-2011 17:00;24.2
03-01-2011 18:00;25.8
03-01-2011 19:00;25.0
03-01-2011 20:00;23.8
03-01-2011 21:00;24.4
04-01-2011 12:00;14.2
04-01-2011 13:00;15.2
04-01-2011 14:00;17.6
04-01-2011 15:00;18.6
04-01-2011 16:00;20.2
04-01-2011 17:00;22.0
04-01-2011 18:00;22.6
04-01-2011 19:00;22.2
04-01-2011 20:00;22.4
04-01-2011 21:00;22.4
05-01-2011 12:00;13.6
05-01-2011 13:00;15.4
05-01-2011 14:00;18.4
05-01-2011 15:00;20.4
05-01-2011 16:00;22.4
05-01-2011 18:00;25.6
05-01-2011 18:01;24.4
05-01-2011 19:00;27.2
05-01-2011 20:00;27.6
05-01-2011 21:00;27.8
06-01-2011 12:00;15.6
06-01-2011 13:00;18.4
06-01-2011 14:00;21.0
06-01-2011 15:00;23.4
06-01-2011 16:00;26.2
06-01-2011 17:00;28.0
06-01-2011 18:00;29.6
06-01-2011 19:00;30.8
06-01-2011 20:00;31.4
06-01-2011 21:00;31.8
07-01-2011 12:00;16.2
07-01-2011 13:00;16.6
07-01-2011 14:00;17.0
07-01-2011 15:00;17.8
07-01-2011 16:00;18.6
07-01-2011 17:00;20.0
07-01-2011 18:00;20.2
07-01-2011 19:00;20.8
07-01-2011 20:00;21.6
07-01-2011 21:00;21.8
08-01-2011 12:00;13.6
08-01-2011 13:00;16.4
08-01-2011 14:00;19.0
08-01-2011 15:00;21.4
08-01-2011 16:00;24.2
08-01-2011 17:00;25.2
08-01-2011 18:00;27.2
08-01-2011 19:00;28.2
08-01-2011 20:00;28.8
08-01-2011 21:00;28.8
09-01-2011 12:00;13.8
09-01-2011 13:00;16.8
09-01-2011 14:00;19.4
09-01-2011 15:00;22.6
09-01-2011 16:00;25.4
09-01-2011 17:00;27.6
09-01-2011 18:00;29.8
09-01-2011 19:00;31.6
09-01-2011 20:00;32.6
09-01-2011 21:00;32.2
10-01-2011 12:00;13.6
10-01-2011 13:00;15.8
10-01-2011 14:00;18.0
10-01-2011 15:00;20.6
10-01-2011 16:00;23.2
10-01-2011 17:00;24.8
10-01-2011 18:00;26.6
10-01-2011 19:00;28.4
10-01-2011 20:00;29.2
10-01-2011 21:00;29.2
11-01-2011 12:00;12.6
11-01-2011 13:00;15.2
11-01-2011 14:00;18.0
11-01-2011 15:00;20.4
11-01-2011 16:00;23.4
11-01-2011 17:00;25.6
11-01-2011 18:00;27.4
11-01-2011 19:00;28.4
11-01-2011 20:00;29.4
11-01-2011 21:00;29.8
12-01-2011 12:00;15.6
12-01-2011 13:00;17.8
12-01-2011 14:00;20.0
12-01-2011 15:00;23.0
12-01-2011 17:00;26.6
12-01-2011 18:00;27.8
12-01-2011 19:00;29.2
12-01-2011 20:00;30.0
12-01-2011 21:00;30.2
13-01-2011 12:00;15.8
13-01-2011 13:00;18.2
13-01-2011 14:00;20.0
13-01-2011 15:00;21.4
13-01-2011 16:00;23.2
13-01-2011 17:00;24.6
13-01-2011 18:00;25.0
13-01-2011 19:00;25.8
13-01-2011 20:00;25.4
14-01-2011 12:00;14.6
14-01-2011 13:00;17.0
14-01-2011 14:00;19.2
14-01-2011 15:00;21.0
14-01-2011 16:00;23.0
14-01-2011 17:00;24.2
14-01-2011 18:00;27.0
14-01-2011 19:00;28.0
14-01-2011 20:00;28.8
15-01-2011 0:00;21.6
15-01-2011 12:00;8.2
15-01-2011 18:00;22.3
16-01-2011 0:00;21.4
16-01-2011 12:00;12.2
16-01-2011 18:00;19.5
17-01-2011 0:00;18.8
17-01-2011 12:00;10.6
17-01-2011 13:00;14.8
17-01-2011 14:00;17.0
17-01-2011 15:00;19.0
17-01-2011 16:00;20.2
17-01-2011 17:00;22.0
17-01-2011 18:00;23.0
17-01-2011 19:00;24.0
17-01-2011 20:00;24.6
18-01-2011 12:00;12.6
18-01-2011 13:00;15.4
18-01-2011 14:00;17.8
18-01-2011 15:00;20.6
18-01-2011 16:00;22.2
18-01-2011 17:00;24.0
18-01-2011 18:00;25.4
18-01-2011 19:00;25.8
18-01-2011 20:00;26.0
19-01-2011 12:00;15.4
19-01-2011 13:00;16.4
19-01-2011 14:00;18.2
19-01-2011 15:00;19.6
19-01-2011 16:00;21.0
19-01-2011 17:00;22.0
19-01-2011 18:00;23.0
19-01-2011 19:00;23.6
19-01-2011 20:00;24.0
20-01-2011 12:00;12.4
20-01-2011 13:00;15.0
20-01-2011 14:00;17.6
20-01-2011 15:00;20.0
20-01-2011 16:00;22.2
20-01-2011 17:00;24.0
20-01-2011 18:00;25.0
20-01-2011 19:00;26.0
20-01-2011 20:00;26.6
21-01-2011 12:00;13.0
21-01-2011 13:00;16.0
21-01-2011 14:00;19.0
21-01-2011 15:00;22.0
21-01-2011 16:00;24.0
21-01-2011 17:00;26.6
21-01-2011 18:00;27.2
21-01-2011 19:00;28.4
21-01-2011 20:00;29.0
24-01-2011 12:00;18.0
24-01-2011 13:00;18.4
24-01-2011 14:00;20.2
24-01-2011 15:00;21.6
24-01-2011 16:00;23.0
24-01-2011 17:00;26.2
24-01-2011 18:00;27.4
24-01-2011 19:00;28.6
24-01-2011 20:00;29.6
25-01-2011 12:00;18.6
25-01-2011 13:00;20.2
25-01-2011 14:00;22.0
25-01-2011 15:00;23.4
25-01-2011 16:00;25.0
25-01-2011 17:00;26.0
25-01-2011 18:00;27.6
25-01-2011 19:00;29.0
25-01-2011 20:00;29.4
26-01-2011 12:00;16.2
26-01-2011 13:00;18.6
26-01-2011 14:00;21.0
26-01-2011 15:00;23.4
26-01-2011 16:00;26.0
26-01-2011 17:00;28.2
26-01-2011 18:00;29.2
26-01-2011 19:00;30.6
26-01-2011 20:00;31.2
27-01-2011 12:00;17.0
27-01-2011 13:00;18.6
27-01-2011 14:00;20.0
27-01-2011 15:00;22.0
27-01-2011 16:00;23.6
27-01-2011 17:00;25.0
27-01-2011 18:00;26.2
27-01-2011 19:00;26.8
27-01-2011 20:00;27.0
28-01-2011 12:00;12.6
28-01-2011 13:00;15.6
28-01-2011 14:00;19.0
28-01-2011 15:00;21.8
28-01-2011 16:00;24.0
28-01-2011 17:00;26.0
28-01-2011 18:00;27.4
28-01-2011 19:00;29.0
28-01-2011 20:00;30.0
31-01-2011 12:00;15.0
31-01-2011 13:00;15.4
31-01-2011 14:00;18.8
31-01-2011 15:00;20.6
31-01-2011 16:00;22.2
31-01-2011 17:00;23.2
31-01-2011 18:00;24.0
31-01-2011 19:00;24.6
31-01-2011 20:00;25.0
01-02-2011 12:00;10.6
01-02-2011 13:00;13.6
01-02-2011 14:00;17.4
01-02-2011 15:00;20.0
01-02-2011 16:00;23.0
01-02-2011 17:00;25.4
01-02-2011 18:00;27.6
01-02-2011 19:00;28.6
01-02-2011 20:00;29.6
02-02-2011 12:00;11.6
02-02-2011 13:00;16.6
02-02-2011 14:00;19.0
02-02-2011 15:00;22.0
02-02-2011 16:00;23.2
02-02-2011 17:00;23.8
02-02-2011 18:00;25.6
02-02-2011 19:00;26.2
02-02-2011 20:00;26.0
03-02-2011 12:00;12.6
03-02-2011 13:00;15.2
03-02-2011 14:00;17.2
03-02-2011 15:00;19.4
03-02-2011 16:00;21.2
03-02-2011 17:00;22.6
03-02-2011 18:00;23.8
03-02-2011 19:00;24.6
03-02-2011 20:00;24.6
03-02-2011 21:00;24.4
04-02-2011 12:00;13.4
04-02-2011 13:00;16.2
04-02-2011 14:00;18.4
04-02-2011 15:00;21.0
04-02-2011 16:00;24.2
04-02-2011 17:00;26.2
04-02-2011 18:00;27.8
04-02-2011 19:00;28.4
04-02-2011 20:00;29.0
04-02-2011 21:00;28.8
05-02-2011 12:00;12.8
05-02-2011 13:00;15.2
05-02-2011 14:00;18.2
05-02-2011 15:00;20.4
05-02-2011 16:00;22.8
05-02-2011 17:00;25.4
05-02-2011 18:00;27.6
05-02-2011 19:00;29.0
05-02-2011 20:00;31.0
05-02-2011 21:00;31.0
06-02-2011 12:00;12.2
06-02-2011 13:00;15.6
06-02-2011 14:00;17.8
06-02-2011 15:00;20.2
06-02-2011 16:00;22.6
06-02-2011 17:00;24.8
06-02-2011 18:00;27.2
06-02-2011 19:00;27.4
06-02-2011 20:00;27.2
06-02-2011 21:00;28.8
07-02-2011 12:00;12.2
07-02-2011 13:00;16.6
07-02-2011 14:00;19.2
07-02-2011 15:00;21.2
07-02-2011 16:00;23.8
07-02-2011 17:00;26.0
07-02-2011 18:00;28.4
07-02-2011 19:00;30.2
07-02-2011 20:00;31.2
07-02-2011 21:00;31.4
08-02-2011 12:00;15.6
08-02-2011 13:00;19.2
