momento;valor_temperatura
01-01-2013 0:00;23.6
01-01-2013 12:00;13.2
01-01-2013 13:00;15.4
01-01-2013 14:00;18.0
01-01-2013 15:00;21.8
01-01-2013 16:00;24.2
01-01-2013 17:00;26.6
01-01-2013 18:00;25.6
01-01-2013 19:00;30.4
01-01-2013 20:00;31.2
01-01-2013 21:00;32.2
01-01-2013 22:00;31.8
01-01-2013 23:00;31.4
02-01-2013 0:00;25.6
02-01-2013 12:00;18.0
02-01-2013 13:00;23.0
02-01-2013 14:00;22.2
02-01-2013 15:00;24.0
02-01-2013 16:00;25.4
02-01-2013 17:00;26.8
02-01-2013 18:00;28.2
02-01-2013 19:00;29.0
02-01-2013 20:00;30.2
02-01-2013 21:00;30.2
02-01-2013 22:00;27.6
02-01-2013 23:00;25.2
03-01-2013 0:00;23.2
03-01-2013 12:00;13.6
03-01-2013 13:00;14.2
03-01-2013 14:00;16.6
03-01-2013 15:00;19.0
03-01-2013 16:00;20.0
03-01-2013 17:00;22.4
03-01-2013 18:00;24.0
03-01-2013 19:00;24.0
03-01-2013 20:00;25.6
03-01-2013 21:00;26.2
03-01-2013 22:00;25.0
03-01-2013 23:00;22.4
04-01-2013 0:00;20.0
04-01-2013 12:00;14.8
04-01-2013 13:00;15.8
04-01-2013 14:00;17.0
04-01-2013 15:00;18.6
04-01-2013 16:00;19.4
04-01-2013 17:00;20.0
04-01-2013 18:00;20.4
04-01-2013 19:00;21.0
04-01-2013 20:00;21.6
04-01-2013 21:00;22.0
04-01-2013 22:00;22.2
04-01-2013 23:00;22.0
05-01-2013 0:00;19.8
05-01-2013 12:00;13.4
05-01-2013 13:00;16.6
05-01-2013 14:00;19.0
05-01-2013 15:00;22.0
05-01-2013 16:00;22.8
05-01-2013 17:00;24.2
05-01-2013 18:00;26.0
05-01-2013 19:00;27.2
05-01-2013 20:00;27.8
05-01-2013 21:00;28.4
05-01-2013 22:00;28.4
05-01-2013 23:00;27.6
06-01-2013 0:00;26.2
06-01-2013 12:00;15.2
06-01-2013 13:00;17.2
06-01-2013 14:00;20.0
06-01-2013 15:00;22.4
06-01-2013 16:00;24.4
06-01-2013 17:00;26.0
06-01-2013 18:00;27.0
06-01-2013 19:00;27.0
06-01-2013 20:00;26.0
06-01-2013 21:00;25.4
06-01-2013 22:00;23.0
06-01-2013 23:00;22.0
07-01-2013 0:00;18.8
07-01-2013 12:00;16.6
07-01-2013 13:00;15.6
07-01-2013 14:00;16.0
07-01-2013 15:00;17.3
07-01-2013 16:00;19.2
07-01-2013 17:00;21.0
07-01-2013 18:00;22.0
07-01-2013 19:00;23.8
07-01-2013 20:00;24.8
07-01-2013 21:00;25.6
07-01-2013 22:00;24.6
07-01-2013 23:00;22.8
08-01-2013 0:00;21.0
08-01-2013 12:00;12.3
08-01-2013 13:00;15.2
08-01-2013 14:00;18.0
08-01-2013 15:00;20.1
08-01-2013 16:00;22.6
08-01-2013 17:00;25.0
08-01-2013 18:00;26.3
08-01-2013 19:00;28.2
08-01-2013 20:00;28.8
08-01-2013 21:00;29.0
08-01-2013 22:00;28.4
08-01-2013 23:00;27.8
09-01-2013 0:00;25.6
09-01-2013 12:00;15.1
09-01-2013 13:00;16.2
09-01-2013 14:00;20.6
09-01-2013 15:00;22.8
09-01-2013 16:00;25.6
09-01-2013 17:00;28.1
09-01-2013 18:00;30.2
09-01-2013 19:00;32.0
09-01-2013 20:00;32.2
09-01-2013 21:00;32.8
09-01-2013 22:00;32.4
09-01-2013 23:00;31.0
10-01-2013 0:00;28.4
10-01-2013 12:00;18.0
10-01-2013 13:00;21.4
10-01-2013 14:00;23.0
10-01-2013 15:00;25.4
10-01-2013 16:00;27.0
10-01-2013 17:00;29.2
10-01-2013 18:00;30.2
10-01-2013 19:00;32.4
10-01-2013 20:00;33.8
10-01-2013 21:00;34.4
10-01-2013 22:00;32.6
10-01-2013 23:00;30.6
11-01-2013 0:00;26.6
11-01-2013 12:00;15.2
11-01-2013 13:00;17.0
11-01-2013 14:00;19.8
11-01-2013 15:00;22.8
11-01-2013 16:00;25.2
11-01-2013 17:00;28.0
11-01-2013 18:00;29.8
11-01-2013 19:00;30.4
11-01-2013 20:00;31.6
11-01-2013 21:00;31.8
11-01-2013 22:00;31.4
11-01-2013 23:00;30.4
12-01-2013 0:00;28.0
12-01-2013 12:00;18.6
12-01-2013 13:00;19.6
12-01-2013 14:00;22.2
12-01-2013 15:00;23.0
12-01-2013 16:00;26.2
12-01-2013 17:00;27.0
12-01-2013 18:00;28.4
12-01-2013 19:00;29.2
12-01-2013 20:00;30.0
12-01-2013 21:00;30.8
12-01-2013 22:00;31.2
12-01-2013 23:00;30.6
13-01-2013 0:00;25.8
13-01-2013 12:00;18.2
13-01-2013 13:00;19.0
13-01-2013 14:00;19.0
13-01-2013 15:00;21.0
