CodigoNacional;momento,QFE_Valor
360011;01-01-2017 00:00:00;999.7
360011;01-01-2017 01:00:00;999.9
360011;01-01-2017 02:00:00;1000.3
360011;01-01-2017 03:00:00;1000.7
360011;01-01-2017 04:00:00;1000.6
360011;01-01-2017 05:00:00;1000.1
360011;01-01-2017 06:00:00;999.6
360011;01-01-2017 07:00:00;999.2
360011;01-01-2017 08:00:00;998.9
360011;01-01-2017 09:00:00;999.5
360011;01-01-2017 10:00:00;999.8
360011;01-01-2017 11:00:00;1000.1
360011;01-01-2017 12:00:00;1000.6
360011;01-01-2017 13:00:00;1000.8
360011;01-01-2017 14:00:00;1000.2
360011;01-01-2017 15:00:00;999.9
360011;01-01-2017 16:00:00;1000.1
360011;01-01-2017 17:00:00;999.7
360011;01-01-2017 18:00:00;999.3
360011;01-01-2017 19:00:00;998.8
360011;01-01-2017 20:00:00;998.4
360011;01-01-2017 21:00:00;998.2
360011;01-01-2017 22:00:00;998.0
360011;01-01-2017 23:00:00;998.0
360011;02-01-2017 00:00:00;998.1
360011;02-01-2017 01:00:00;998.1
360011;02-01-2017 02:00:00;998.2
360011;02-01-2017 03:00:00;998.0
360011;02-01-2017 04:00:00;997.8
360011;02-01-2017 05:00:00;997.5
360011;02-01-2017 06:00:00;996.9
360011;02-01-2017 07:00:00;996.6
360011;02-01-2017 08:00:00;996.7
360011;02-01-2017 09:00:00;997.0
360011;02-01-2017 10:00:00;997.4
360011;02-01-2017 11:00:00;998.1
360011;02-01-2017 12:00:00;998.5
360011;02-01-2017 13:00:00;998.2
360011;02-01-2017 14:00:00;998.0
360011;02-01-2017 15:00:00;998.0
360011;02-01-2017 16:00:00;997.9
360011;02-01-2017 17:00:00;997.8
360011;02-01-2017 18:00:00;997.4
360011;02-01-2017 19:00:00;997.4
360011;02-01-2017 20:00:00;996.8
360011;02-01-2017 21:00:00;996.6
360011;02-01-2017 22:00:00;996.8
360011;02-01-2017 23:00:00;997.2
360011;03-01-2017 00:00:00;997.8
360011;03-01-2017 01:00:00;998.5
360011;03-01-2017 02:00:00;999.2
360011;03-01-2017 03:00:00;999.3
360011;03-01-2017 04:00:00;999.2
360011;03-01-2017 05:00:00;999.2
360011;03-01-2017 06:00:00;998.5
360011;03-01-2017 07:00:00;998.3
360011;03-01-2017 08:00:00;998.1
360011;03-01-2017 09:00:00;998.5
360011;03-01-2017 10:00:00;998.9
360011;03-01-2017 11:00:00;999.3
360011;03-01-2017 12:00:00;999.4
360011;03-01-2017 13:00:00;999.6
360011;03-01-2017 14:00:00;998.9
360011;03-01-2017 15:00:00;998.7
360011;03-01-2017 16:00:00;998.8
360011;03-01-2017 17:00:00;998.6
360011;03-01-2017 18:00:00;998.2
360011;03-01-2017 19:00:00;997.9
360011;03-01-2017 20:00:00;997.9
360011;03-01-2017 21:00:00;997.8
360011;03-01-2017 22:00:00;997.9
360011;03-01-2017 23:00:00;998.5
360011;04-01-2017 00:00:00;999.2
360011;04-01-2017 01:00:00;999.3
360011;04-01-2017 02:00:00;999.7
360011;04-01-2017 03:00:00;999.8
360011;04-01-2017 04:00:00;999.9
360011;04-01-2017 05:00:00;999.5
360011;04-01-2017 06:00:00;998.7
360011;04-01-2017 07:00:00;998.2
360011;04-01-2017 08:00:00;997.8
360011;04-01-2017 09:00:00;997.7
360011;04-01-2017 10:00:00;997.8
360011;04-01-2017 11:00:00;998.2
360011;04-01-2017 12:00:00;998.5
360011;04-01-2017 13:00:00;998.6
360011;04-01-2017 14:00:00;998.5
360011;04-01-2017 15:00:00;998.0
360011;04-01-2017 16:00:00;997.8
360011;04-01-2017 17:00:00;997.4
360011;04-01-2017 18:00:00;997.2
360011;04-01-2017 19:00:00;996.9
360011;04-01-2017 20:00:00;996.3
360011;04-01-2017 21:00:00;996.1
360011;04-01-2017 22:00:00;996.1
360011;04-01-2017 23:00:00;996.3
360011;05-01-2017 00:00:00;996.5
360011;05-01-2017 01:00:00;996.9
360011;05-01-2017 02:00:00;997.0
360011;05-01-2017 03:00:00;997.4
360011;05-01-2017 04:00:00;997.2
360011;05-01-2017 05:00:00;996.9
360011;05-01-2017 06:00:00;996.3
360011;05-01-2017 07:00:00;995.7
360011;05-01-2017 08:00:00;995.5
360011;05-01-2017 09:00:00;995.3
360011;05-01-2017 10:00:00;995.1
360011;05-01-2017 11:00:00;995.1
360011;05-01-2017 12:00:00;995.3
360011;05-01-2017 13:00:00;994.7
360011;05-01-2017 14:00:00;994.1
