CodigoNacional;momento,Ts_Valor
360011;01-01-2023 00:00:00;19.4
360011;01-01-2023 01:00:00;18.1
360011;01-01-2023 06:00:00;15.7
360011;01-01-2023 12:00:00;16.5
360011;01-01-2023 13:00:00;18.3
360011;01-01-2023 14:00:00;19.3
360011;01-01-2023 15:00:00;20.4
360011;01-01-2023 16:00:00;21.1
360011;01-01-2023 17:00:00;23.6
360011;01-01-2023 18:00:00;25.0
360011;01-01-2023 19:00:00;25.3
360011;01-01-2023 20:00:00;25.9
360011;01-01-2023 21:00:00;26.5
360011;02-01-2023 00:00:00;22.1
360011;02-01-2023 06:00:00;13.2
360011;02-01-2023 12:00:00;14.2
360011;02-01-2023 13:00:00;17.0
360011;02-01-2023 14:00:00;18.7
360011;02-01-2023 15:00:00;20.9
360011;02-01-2023 16:00:00;22.7
360011;02-01-2023 17:00:00;24.0
360011;02-01-2023 18:00:00;25.3
360011;02-01-2023 19:00:00;25.7
360011;02-01-2023 20:00:00;26.6
360011;02-01-2023 21:00:00;26.6
360011;03-01-2023 00:00:00;
360011;03-01-2023 06:00:00;
360011;03-01-2023 12:00:00;14.6
360011;03-01-2023 13:00:00;18.1
360011;03-01-2023 14:00:00;19.9
360011;03-01-2023 15:00:00;21.5
360011;03-01-2023 16:00:00;23.1
360011;03-01-2023 17:00:00;24.8
360011;03-01-2023 18:00:00;25.4
360011;03-01-2023 19:00:00;26.6
360011;03-01-2023 20:00:00;27.5
360011;03-01-2023 21:00:00;27.9
360011;03-01-2023 22:00:00;27.8
360011;03-01-2023 23:00:00;26.8
360011;04-01-2023 00:00:00;
360011;04-01-2023 06:00:00;
360011;04-01-2023 12:00:00;16.8
360011;04-01-2023 13:00:00;19.0
360011;04-01-2023 14:00:00;21.3
360011;04-01-2023 15:00:00;24.4
360011;04-01-2023 16:00:00;26.7
360011;04-01-2023 17:00:00;28.0
360011;04-01-2023 18:00:00;29.5
360011;04-01-2023 19:00:00;30.5
360011;04-01-2023 20:00:00;31.5
360011;05-01-2023 00:00:00;29.6
360011;05-01-2023 06:00:00;17.3
360011;05-01-2023 12:00:00;16.8
360011;05-01-2023 13:00:00;18.3
360011;05-01-2023 14:00:00;20.1
360011;05-01-2023 15:00:00;22.5
360011;05-01-2023 16:00:00;23.8
360011;05-01-2023 17:00:00;25.8
360011;05-01-2023 18:00:00;26.9
360011;05-01-2023 19:00:00;28.5
360011;05-01-2023 20:00:00;29.5
360011;06-01-2023 00:00:00;
360011;06-01-2023 06:00:00;
360011;06-01-2023 12:00:00;15.9
360011;06-01-2023 13:00:00;19.3
360011;06-01-2023 14:00:00;20.6
360011;06-01-2023 15:00:00;22.8
360011;06-01-2023 16:00:00;24.6
360011;06-01-2023 17:00:00;26.7
360011;06-01-2023 18:00:00;28.3
360011;06-01-2023 19:00:00;30.0
360011;06-01-2023 20:00:00;30.1
360011;07-01-2023 00:00:00;
360011;07-01-2023 06:00:00;
360011;07-01-2023 12:00:00;15.5
360011;07-01-2023 13:00:00;18.1
360011;07-01-2023 14:00:00;20.2
360011;07-01-2023 15:00:00;22.8
360011;07-01-2023 16:00:00;23.9
360011;07-01-2023 17:00:00;26.4
360011;07-01-2023 18:00:00;27.9
360011;07-01-2023 19:00:00;29.9
360011;07-01-2023 20:00:00;31.3
360011;08-01-2023 00:00:00;
360011;08-01-2023 12:00:00;15.5
360011;08-01-2023 13:00:00;18.5
360011;08-01-2023 14:00:00;20.9
360011;08-01-2023 15:00:00;23.5
360011;08-01-2023 16:00:00;25.6
360011;08-01-2023 17:00:00;28.6
360011;08-01-2023 18:00:00;30.3
360011;08-01-2023 19:00:00;32.0
360011;08-01-2023 20:00:00;33.4
360011;09-01-2023 00:00:00;
360011;09-01-2023 12:00:00;14.3
360011;09-01-2023 13:00:00;14.9
360011;09-01-2023 14:00:00;16.5
360011;09-01-2023 15:00:00;19.5
360011;09-01-2023 16:00:00;21.4
360011;09-01-2023 17:00:00;22.8
360011;09-01-2023 18:00:00;23.0
360011;09-01-2023 19:00:00;25.3
360011;09-01-2023 20:00:00;27.0
360011;10-01-2023 00:00:00;
360011;10-01-2023 12:00:00;17.8
360011;10-01-2023 13:00:00;18.9
360011;10-01-2023 14:00:00;20.8
360011;10-01-2023 15:00:00;23.8
360011;10-01-2023 16:00:00;25.5
360011;10-01-2023 17:00:00;26.2
360011;10-01-2023 18:00:00;27.0
360011;10-01-2023 19:00:00;28.6
360011;10-01-2023 20:00:00;27.2
360011;11-01-2023 00:00:00;
360011;11-01-2023 06:00:00;
360011;11-01-2023 12:00:00;11.9
360011;11-01-2023 13:00:00;14.5
360011;11-01-2023 14:00:00;17.9
360011;11-01-2023 15:00:00;19.8
360011;11-01-2023 16:00:00;22.3
360011;11-01-2023 17:00:00;24.6
360011;11-01-2023 18:00:00;25.3
360011;11-01-2023 19:00:00;26.0
360011;11-01-2023 20:00:00;26.4
360011;12-01-2023 00:00:00;
360011;12-01-2023 06:00:00;
360011;12-01-2023 12:00:00;12.4
360011;12-01-2023 13:00:00;15.0
360011;12-01-2023 14:00:00;17.9
360011;12-01-2023 15:00:00;20.1
360011;12-01-2023 16:00:00;22.8
360011;12-01-2023 17:00:00;24.2
360011;12-01-2023 18:00:00;26.0
