FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
080101;0000;;;19;
080102;0000;;;21,8666;
080103;0000;;;23,0833;
080104;0000;;;32,8468;
080105;0000;;;41,8135;
080106;0000;;;28,8625;
080107;0000;;;28,3708;
080108;0000;;;27,0791;
080109;0000;;;22,2385;
080110;0000;;;17,6166;
080111;0000;;;20,6292;
080112;0000;;;20,8416;
080113;0000;;;16,5458;
080114;0000;;;23,4875;
080115;0000;;;24;
080116;0000;;;29,925;
080117;0000;;;32,4;
080118;0000;;;34,1124;
080119;0000;;;35,4979;
080120;0000;;;32,7583;
080121;0000;;;23,6666;
080122;0000;;;38,1552;
080123;0000;;;44,4041;
080124;0000;;;43,8166;
080125;0000;;;31,6;
080126;0000;;;25,5833;
080127;0000;;;33,8375;
080128;0000;;;48,6541;
080129;0000;;;35,1375;
080130;0000;;;28,025;
080131;0000;;;48,7385;
080201;0000;;;43,9562;
080202;0000;;;41,1718;
080203;0000;;;39,0458;
080204;0000;;;24,4291;
080205;0000;;;34,3583;
080206;0000;;;29,625;
080207;0000;;;43,2708;
080208;0000;;;50,5718;
080209;0000;;;37,2145;
080210;0000;;;31,4604;
080211;0000;;;87,9884;
080212;0000;;;57,5333;
080213;0000;;;35,0166;
080214;0000;;;32,1666;
080215;0000;;;36,6749;
080216;0000;;;39,3458;
080217;0000;;;42,6541;
080218;0000;;;33,5375;
080219;0000;;;39,3124;
080220;0000;;;41,0416;
080221;0000;;;44,9125;
080222;0000;;;43,3333;
080223;0000;;;34,8833;
080224;0000;;;34,4041;
080225;0000;;;49,1426;
080226;0000;;;55,6;
080227;0000;;;33,575;
080228;0000;;;38,8666;
080229;0000;;;30,6125;
080301;0000;;;27,6885;
080302;0000;;;27,1541;
080303;0000;;;33,1541;
080304;0000;;;42,0552;
080305;0000;;;32,0291;
080306;0000;;;42,6583;
080307;0000;;;41,0208;
080308;0000;;;24,1333;
080309;0000;;;29,8114;
080310;0000;;;47,1385;
080311;0000;;;32,3416;
080312;0000;;;51,775;
080313;0000;;;75,2676;
080314;0000;;;61,3312;
080315;0000;;;36,6166;
080316;0000;;;25,2708;
080317;0000;;;36,7875;
080318;0000;;;41,5791;
080319;0000;;;34,9249;
080320;0000;;;50,3624;
080321;0000;;;28,0875;
080322;0000;;;31,2125;
080323;0000;;;30,8167;
080324;0000;;;36,5218;
080325;0000;;;32,1249;
080326;0000;;;47,926;
080327;0000;;;47,0176;
080328;0000;;;72,0562;
080329;0000;;;44,1677;
080330;0000;;;33,1791;
080331;0000;;;46,2895;
080401;0000;;;50,3801;
080402;0000;;;75,4677;
080403;0000;;;91,3978;
080404;0000;;;57,3166;
080405;0000;;;36,7916;
080406;0000;;;16,3833;
080407;0000;;;35,3416;
080408;0000;;;38,0583;
080409;0000;;;48,3353;
080410;0000;;;41,7468;
080411;0000;;;14,7417;
080412;0000;;;19,0625;
080413;0000;;;16,6791;
080414;0000;;;35,9135;
080415;0000;;;89,1832;
080416;0000;;;48,525;
080417;0000;;;33,7895;
080418;0000;;;37,2302;
080419;0000;;;50,6843;
080420;0000;;;54,027;
080421;0000;;;73,6749;
080422;0000;;;70,226;
080423;0000;;;74,4457;
080424;0000;;;104,721;
080425;0000;;;80,9135;
080426;0000;;;77,0374;
080427;0000;;;36,551;
080428;0000;;;20,3291;
080429;0000;;;39,301;
080430;0000;;;82,7936;
080501;0000;;;78,5676;
080502;0000;;;83,5291;
080503;0000;;;122,238;
080504;0000;;;88,288;
080505;0000;;;79,9696;
080506;0000;;;34,5302;
080507;0000;;;39,8093;
080508;0000;;;54,5218;
080509;0000;;;81,976;
080510;0000;;;65,5718;
080511;0000;;;65,8843;
080512;0000;;;97,4583;
080513;0000;;;129,363;
080514;0000;;;133,904;
080515;0000;;;139,879;
080516;0000;;;113,909;
080517;0000;;;22,4083;
080518;0000;;;10,3042;
080519;0000;;;5,93333;
080520;0000;;;5,37083;
080521;0000;;;6,39999;
080522;0000;;;6,33333;
080523;0000;;;36,6;
080524;0000;;;78,0332;
080525;0000;;;26,4417;
080526;0000;;;11,775;
080527;0000;;;101,126;
080528;0000;;;139,925;
080529;0000;;;111,45;
080530;0000;;;59,3676;
080531;0000;;;62,3635;
080601;0000;;;87,6217;
080602;0000;;;44,9177;
080603;0000;;;14,5708;
080604;0000;;;9,71666;
080605;0000;;;53,6499;
080606;0000;;;51,2093;
080607;0000;;;12,9917;
080608;0000;;;21,5458;
080609;0000;;;78,3707;
080610;0000;;;108,478;
080611;0000;;;80,0051;
080612;0000;;;37,626;
080613;0000;;;61,552;
080614;0000;;;53,6333;
080615;0000;;;29,9449;
080616;0000;;;65,8875;
080617;0000;;;35,0666;
080618;0000;;;25,2625;
080619;0000;;;11,2292;
080620;0000;;;69,6332;
080621;0000;;;57,4718;
080622;0000;;;26,1958;
080623;0000;;;50,9802;
080624;0000;;;44,6749;
080625;0000;;;48,1958;
080626;0000;;;94,4916;
080627;0000;;;148,668;
080628;0000;;;113,701;
080629;0000;;;107,094;
080630;0000;;;59,6333;
080701;0000;;;67,5592;
080702;0000;;;35,1749;
080703;0000;;;38,6801;
080704;0000;;;15,4167;
080705;0000;;;12,1167;
080706;0000;;;21,9177;
080707;0000;;;39,5041;
080708;0000;;;71,5125;
080709;0000;;;28,8125;
080710;0000;;;22,2375;
080711;0000;;;41,5125;
080712;0000;;;18,8666;
080713;0000;;;10,5208;
080714;0000;;;57,9791;
080715;0000;;;28,225;
080716;0000;;;9,21666;
080717;0000;;;39,0166;
080718;0000;;;87,7457;
080719;0000;;;34,6385;
080720;0000;;;34,5333;
080721;0000;;;37,7333;
080722;0000;;;10,2833;
080723;0000;;;13,5916;
080724;0000;;;54,1468;
080725;0000;;;27,9333;
080726;0000;;;77,5311;
080727;0000;;;56,9551;
080728;0000;;;91,6041;
080729;0000;;;65,575;
080730;0000;;;36,476;
080731;0000;;;19,75;
080801;0000;;;12,6042;
080802;0000;;;14,7625;
080803;0000;;;25,7666;
080804;0000;;;55,2333;
080805;0000;;;96,9374;
080806;0000;;;44,0885;
080807;0000;;;59,1885;
080808;0000;;;94,7499;
080809;0000;;;156,322;
080810;0000;;;44,2843;
080811;0000;;;64,9082;
080812;0000;;;77,876;
080813;0000;;;58,4458;
080814;0000;;;33,9249;
080815;0000;;;29,6635;
080816;0000;;;74,0249;
080817;0000;;;104,642;
080818;0000;;;104,8;
080819;0000;;;21,9583;
080820;0000;;;79,4041;
080821;0000;;;90,8416;
080822;0000;;;101,676;
080823;0000;;;47,4135;
080824;0000;;;18,0166;
080825;0000;;;10,2375;
080826;0000;;;28,3635;
080827;0000;;;14,5958;
080828;0000;;;45,7708;
080829;0000;;;62,5197;
080830;0000;;;34,6333;
080831;0000;;;7,84583;
080901;0000;;;11,9583;
080902;0000;;;23,2885;
080903;0000;;;54,3708;
080904;0000;;;49,776;
080905;0000;;;41,8541;
080906;0000;;;49,5427;
080907;0000;;;49,3801;
080908;0000;;;53,3291;
080909;0000;;;72,2843;
080910;0000;;;71,7416;
080911;0000;;;26,1125;
080912;0000;;;38,2625;
080913;0000;;;87,6915;
080914;0000;;;89,6874;
080915;0000;;;45,3468;
080916;0000;;;50,5853;
080917;0000;;;27,8593;
080918;0000;;;23,9208;
080919;0000;;;35,0166;
080920;0000;;;29,0375;
080921;0000;;;41,1708;
080922;0000;;;26,8083;
080923;0000;;;31,65;
080924;0000;;;43,7468;
080925;0000;;;51,8218;
080926;0000;;;28,4802;
080927;0000;;;28,9833;
080928;0000;;;32,6718;
080929;0000;;;46,1416;
080930;0000;;;28,35;
081001;0000;;;24,475;
081002;0000;;;37,1;
081003;0000;;;20,5791;
081004;0000;;;19,5541;
081005;0000;;;16,6833;
