FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
120316;0000;;45,2017;;
120317;0000;;55,9338;;
120318;0000;;44,3763;;
120319;0000;;18,3663;;
120320;0000;;21,1594;;
120321;0000;;29,6971;;
120322;0000;;37,27;;
120323;0000;;31,3421;;
120324;0000;;26,4921;;
120325;0000;;21,5713;;
120326;0000;;34,8746;;
120327;0000;;60,0425;;
120328;0000;;53,1971;;
120329;0000;;;;
120330;0000;;;;
120331;0000;;54,42;;
120401;0000;;33,3701;;
120402;0000;;52,1338;;
120403;0000;;47,0959;;
120404;0000;;23,1038;;
120405;0000;;27,2871;;
120406;0000;;26,1533;;
120407;0000;;20,1675;;
120408;0000;;19,9951;;
120409;0000;;37,4659;;
120410;0000;;53,6392;;
120411;0000;;65,2218;;
120412;0000;;64,8518;;
120413;0000;;89,2605;;
120414;0000;;44,2421;;
120415;0000;;35,7713;;
120416;0000;;46,5925;;
120417;0000;;52,6521;;
120418;0000;;51,6;;
120419;0000;;45,9954;;
120420;0000;;47,1871;;
120421;0000;;100,291;;
120422;0000;;78,2627;;
120423;0000;;72,5013;;
120424;0000;;125,184;;
120425;0000;;158,517;;
120426;0000;;176,225;;
120427;0000;;128,74;;
120428;0000;;53,4225;;
120429;0000;;106,947;;
120430;0000;;97,6272;;
120501;0000;;98,6783;;
120502;0000;;127,835;;
120503;0000;;93,4088;;
120504;0000;;145,822;;
120505;0000;;81,6293;;
120506;0000;;40,0492;;
120507;0000;;26,796;;
120508;0000;;;;
120509;0000;;134,851;;
120510;0000;;113,171;;
120511;0000;;34,5222;;
120512;0000;;163,588;;
120513;0000;;140,958;;
120514;0000;;253,341;;
120515;0000;;77,5234;;
120516;0000;;65,771;;
120517;0000;;144,698;;
120518;0000;;99,6664;;
120519;0000;;49,7042;;
120520;0000;;33,9026;;
120521;0000;;54,9259;;
120522;0000;;279,987;;
120523;0000;;215,134;;
120524;0000;;225,66;;
120525;0000;;65,6438;;
120526;0000;;17,6875;;
120527;0000;;27,8995;;
120528;0000;;34,6796;;
120529;0000;;108,149;;
120530;0000;;57,9042;;
120531;0000;;190,308;;
120601;0000;;124,966;;
120602;0000;;53,4592;;
120603;0000;;46,8388;;
120604;0000;;27,365;;
120605;0000;;36,3717;;
120606;0000;;39,1771;;
120607;0000;;64,9742;;
120608;0000;;278,274;;
120609;0000;;173,325;;
120610;0000;;206,859;;
120611;0000;;117,194;;
120612;0000;;15,5459;;
120613;0000;;81,791;;
120614;0000;;45,558;;
120615;0000;;88,3931;;
120616;0000;;30,55;;
120617;0000;;28,8217;;
120618;0000;;34,6801;;
120619;0000;;56,5134;;
120620;0000;;49,0317;;
120621;0000;;94,3256;;
120622;0000;;134,281;;
120623;0000;;125,964;;
120624;0000;;150,209;;
120625;0000;;205,84;;
120626;0000;;79,8905;;
120627;0000;;41,79;;
120628;0000;;41,548;;
120629;0000;;47,9485;;
120630;0000;;35,2059;;
120701;0000;;78,5858;;
120702;0000;;55,0696;;
120703;0000;;129,259;;
120704;0000;;58,8188;;
120705;0000;;147,149;;
120706;0000;;215,181;;
120707;0000;;311,198;;
120708;0000;;64,1864;;
120709;0000;;27,5738;;
120710;0000;;30,5992;;
120711;0000;;151,958;;
120712;0000;;;;
120713;0000;;;;
120714;0000;;53,4892;;
120715;0000;;111,14;;
120716;0000;;48,7792;;
120717;0000;;103,915;;
120718;0000;;37,6971;;
120719;0000;;108,997;;
120720;0000;;81,3018;;
120721;0000;;112,306;;
120722;0000;;182,041;;
120723;0000;;83,1384;;
120724;0000;;38,2863;;
120725;0000;;35,3333;;
120726;0000;;50,1346;;
120727;0000;;49,5067;;
120728;0000;;36,6105;;
120729;0000;;33,9022;;
120730;0000;;129,433;;
120731;0000;;82,0146;;
120801;0000;;37,778;;
120802;0000;;22,507;;
120803;0000;;76,0355;;
120804;0000;;194,693;;
120805;0000;;82,448;;
120806;0000;;74,1614;;
120807;0000;;96,8093;;
120808;0000;;125,827;;
120809;0000;;52,4809;;
120810;0000;;50,0776;;
120811;0000;;52,4163;;
120812;0000;;76,4043;;
120813;0000;;123,152;;
120814;0000;;58,8959;;
120815;0000;;29,9355;;
120816;0000;;30,5876;;
120817;0000;;54,3163;;
120818;0000;;56,9717;;
120819;0000;;40,2996;;
120820;0000;;61,8105;;
120821;0000;;50,4517;;
120822;0000;;24,4785;;
120823;0000;;96,6422;;
120824;0000;;57,7534;;
120825;0000;;76,9801;;
120826;0000;;103,044;;
120827;0000;;171,247;;
120828;0000;;86,3793;;
120829;0000;;76,2472;;
120830;0000;;75,7627;;
120831;0000;;73,5272;;
120901;0000;;45,9684;;
120902;0000;;41,7259;;
120903;0000;;59,5446;;
120904;0000;;33,1342;;
120905;0000;;57,8617;;
120906;0000;;117,102;;
120907;0000;;73,088;;
120908;0000;;29,6296;;
120909;0000;;66,3834;;
120910;0000;;83,0844;;
120911;0000;;62,5822;;
120912;0000;;50,1534;;
120913;0000;;44,8038;;
120914;0000;;50,4238;;
120915;0000;;34,9492;;
120916;0000;;61,4163;;
120917;0000;;36,2725;;
120918;0000;;23,2813;;
120919;0000;;38,78;;
120920;0000;;36,853;;
120921;0000;;26,9788;;
120922;0000;;23,87;;
120923;0000;;24,5521;;
120924;0000;;62,0787;;
120925;0000;;77,4667;;
120926;0000;;58,4675;;
120927;0000;;42,9617;;
120928;0000;;43,5679;;
120929;0000;;28,9853;;
120930;0000;;;;
121001;0000;;;;
121002;0000;;38,6371;;
121003;0000;;42,4513;;
121004;0000;;45,0517;;
121005;0000;;24,7133;;
121006;0000;;23,3979;;
121007;0000;;20,9213;;
121008;0000;;27,2609;;
121009;0000;;32,8317;;
121010;0000;;33,7984;;
121011;0000;;39,9942;;
121012;0000;;33,3411;;
121013;0000;;33,8771;;
121014;0000;;29,2859;;
121015;0000;;27,0875;;
121016;0000;;40,3413;;
121017;0000;;43,778;;
121018;0000;;28,2354;;
121019;0000;;45,5888;;
121020;0000;;36,9547;;
121021;0000;;26,112;;
121022;0000;;25,4176;;
121023;0000;;20,6271;;
121024;0000;;23,5578;;
121025;0000;;33,6526;;
121026;0000;;28,6763;;
121027;0000;;34,868;;
121028;0000;;28,6604;;
121029;0000;;39,7955;;
121030;0000;;39,6009;;
121031;0000;;;;
121101;0000;;;;
121102;0000;;30,2679;;
121103;0000;;28,1263;;
121104;0000;;31,8854;;
121105;0000;;46,5417;;
121106;0000;;35,6425;;
121107;0000;;30,2679;;
121108;0000;;29,0073;;
121109;0000;;26,0852;;
121110;0000;;26,7249;;
121111;0000;;20,6517;;
121112;0000;;32,4857;;
121113;0000;;33,7259;;
121114;0000;;29,9996;;
121115;0000;;44,1627;;
121116;0000;;35,6305;;
121117;0000;;26,68;;
121118;0000;;23,7725;;
121119;0000;;28,3513;;
121120;0000;;30,3942;;
121121;0000;;37,5817;;
121122;0000;;43,718;;
121123;0000;;37,462;;
121124;0000;;43,5849;;
121125;0000;;22,2554;;
121126;0000;;33,8717;;
121127;0000;;38,295;;
121128;0000;;50,4917;;
121129;0000;;19,5746;;
121130;0000;;19,0775;;
121201;0000;;19,723;;
121202;0000;;10,8419;;
121203;0000;;21,9263;;
121204;0000;;20,9471;;
121205;0000;;22,4346;;
121206;0000;;15,1561;;
121207;0000;;18,1726;;
121208;0000;;;;
121209;0000;;;;
121210;0000;;;;
121211;0000;;;;
121212;0000;;23,8283;;
121213;0000;;30,0254;;
121214;0000;;28,7105;;
121215;0000;;;;
121216;0000;;22,9211;;
121217;0000;;36,3546;;
121218;0000;;13,2051;;
121219;0000;;12,8788;;
121220;0000;;20,4084;;
121221;0000;;21,6171;;
121222;0000;;23,4952;;
121223;0000;;23,1763;;
121224;0000;;20,5821;;
121225;0000;;10,4249;;
121226;0000;;19,9988;;
121227;0000;;19,1131;;
121228;0000;;22,4088;;
121229;0000;;26,1125;;
121230;0000;;14,8641;;
121231;0000;;23,1182;;
130101;0000;27,4733;;;
130102;0000;40,65;;;
130103;0000;32,183;;;
130104;0000;38,0133;;;
130105;0000;30,8071;;;
130106;0000;17,2192;;;
130107;0000;16,6085;;;
130108;0000;35,0892;;;
130109;0000;40,007;;;
130110;0000;37,3571;;;
130111;0000;42,5866;;;
130112;0000;34,935;;;
130113;0000;29,74;;;
130114;0000;37,1487;;;
130115;0000;52,9175;;;
130116;0000;41,4079;;;
130117;0000;42,7554;;;
130118;0000;50,4816;;;
130119;0000;39,7775;;;
130120;0000;22,6883;;;
130121;0000;28,8441;;;
130122;0000;41,8025;;;
130123;0000;41,0259;;;
130124;0000;30,4192;;;
130125;0000;34,5591;;;
130126;0000;45,2521;;;
130127;0000;39,4238;;;
130128;0000;28,9308;;;
130129;0000;36,615;;;
130130;0000;42,0608;;;
130131;0000;52,2987;;;
130201;0000;38,1741;;;
130202;0000;28,3887;;;
130203;0000;35,9483;;;
130204;0000;46,1292;;;
130205;0000;38,9542;;;
130206;0000;47,3066;;;
130207;0000;45,9455;;;
130208;0000;46,6268;;;
130209;0000;62,5559;;;
130210;0000;19,3441;;;
130211;0000;26,1638;;;
130212;0000;26,0226;;;
130213;0000;29,1284;;;
130214;0000;33,6625;;;
130215;0000;23,8475;;;
130216;0000;16,1896;;;
130217;0000;14,2784;;;
130218;0000;18,5955;;;
130219;0000;24,6371;;;
130220;0000;34,4624;;;
130221;0000;35,6718;;;
130222;0000;34,3047;;;
130223;0000;18,8609;;;
130224;0000;26,0521;;;
130225;0000;26,9575;;;
130226;0000;33,155;;;
130227;0000;33,9351;;;
130228;0000;26,2787;;;
130301;0000;37,2833;;;
130302;0000;36,9421;;;
130303;0000;49,7341;;;
130304;0000;49,1249;;;
130305;0000;42,347;;;
130306;0000;17,4286;;;
130307;0000;26,4641;;;
130308;0000;43,9058;;;
130309;0000;30,9875;;;
130310;0000;24,2917;;;
130311;0000;34,9271;;;
130312;0000;39,2542;;;
130313;0000;41,1296;;;
130314;0000;61,4962;;;
130315;0000;83,547;;;
130316;0000;125,165;;;
130317;0000;62,1566;;;
130318;0000;48,8116;;;
130319;0000;66,7225;;;
130320;0000;29,649;;;
130321;0000;25,3723;;;
130322;0000;32,8628;;;
130323;0000;50,7113;;;
130324;0000;40,3005;;;
130325;0000;31,5321;;;
130326;0000;46,3958;;;
130327;0000;59,1609;;;
130328;0000;58,8466;;;
130329;0000;47,6004;;;
130330;0000;26,7871;;;
130331;0000;46,0404;;;
130401;0000;37,7162;;;
130402;0000;47,2567;;;
130403;0000;63,1154;;;
130404;0000;69,1204;;;
130405;0000;43,0162;;;
130406;0000;33,75;;;
130407;0000;21,6896;;;
130408;0000;66,8839;;;
130409;0000;83,547;;;
130410;0000;48,98;;;
130411;0000;16,8112;;;
130412;0000;21,9104;;;
130413;0000;33,6654;;;
130414;0000;46,6758;;;
130415;0000;49,78;;;
130416;0000;38,8942;;;
130417;0000;59,1758;;;
130418;0000;75,4486;;;
130419;0000;45,0562;;;
130420;0000;87,1886;;;
130421;0000;46,1927;;;
130422;0000;34,7238;;;
130423;0000;40,7167;;;
130424;0000;129,909;;;
130425;0000;87,8104;;;
130426;0000;89,1312;;;
130427;0000;112,246;;;
130428;0000;;;;
130429;0000;;;;
130430;0000;;;;
130501;0000;52,0471;;;
130502;0000;21,735;;;
130503;0000;61,1709;;;
130504;0000;56,8071;;;
130505;0000;29,7666;;;
130506;0000;26,2087;;;
130507;0000;162,361;;;
130508;0000;187,262;;;
130509;0000;89,7537;;;
130510;0000;108,688;;;
130511;0000;62,3758;;;
130512;0000;26,8896;;;
130513;0000;61,4612;;;
130514;0000;61,8404;;;
130515;0000;25,2551;;;
130516;0000;111,294;;;
130517;0000;315,777;;;
130518;0000;109,266;;;
130519;0000;66,4425;;;
130520;0000;124,614;;;
130521;0000;172,446;;;
130522;0000;221,689;;;
130523;0000;133,376;;;
130524;0000;43,9596;;;
130525;0000;58,4929;;;
130526;0000;57,962;;;
130527;0000;23,1117;;;
130528;0000;27,9046;;;
130529;0000;68,0374;;;
130530;0000;76,2521;;;
130531;0000;29,8674;;;
130601;0000;49,6304;;;
130602;0000;96,6683;;;
130603;0000;26,2361;;;
130604;0000;34,2933;;;
130605;0000;30,6358;;;
130606;0000;49,6262;;;
130607;0000;39,5596;;;
130608;0000;93,1929;;;
130609;0000;50,1683;;;
130610;0000;75,8833;;;
130611;0000;50,4095;;;
130612;0000;65,4514;;;
130613;0000;44,1113;;;
130614;0000;50,9637;;;
130615;0000;54,9866;;;
130616;0000;29,0708;;;
130617;0000;101,591;;;
130618;0000;62,9433;;;
130619;0000;93,6996;;;
130620;0000;169,965;;;
130621;0000;79,1649;;;
130622;0000;34,0675;;;
130623;0000;23,6146;;;
130624;0000;48,6966;;;
130625;0000;47,5108;;;
130626;0000;40,8809;;;
130627;0000;24,0717;;;
130628;0000;43,1454;;;
130629;0000;45,3233;;;
130630;0000;136,438;;;
130701;0000;130,231;;;
130702;0000;37,3821;;;
130703;0000;35,8471;;;
130704;0000;68,1604;;;
130705;0000;64,8862;;;
130706;0000;52,0446;;;
130707;0000;148,405;;;
130708;0000;75,3142;;;
130709;0000;29,4154;;;
130710;0000;26,3461;;;
130711;0000;93,793;;;
130712;0000;51,6933;;;
130713;0000;156,803;;;
130714;0000;119,532;;;
130715;0000;29,1067;;;
130716;0000;26,2892;;;
130717;0000;45,0092;;;
130718;0000;47,5963;;;
130719;0000;95,9421;;;
130720;0000;119,182;;;
130721;0000;49,7204;;;
130722;0000;72,2408;;;
130723;0000;53,6754;;;
130724;0000;54,7592;;;
130725;0000;141,24;;;
130726;0000;68,1725;;;
130727;0000;110,339;;;
130728;0000;52,7925;;;
130729;0000;55,0195;;;
130730;0000;47,7016;;;
130731;0000;91,3788;;;
130801;0000;70,5596;;;
130802;0000;89,8933;;;
130803;0000;;;;
130804;0000;;;;
130805;0000;;;;
130806;0000;69,9929;;;
130807;0000;99,8018;;;
130808;0000;82,7191;;;
130809;0000;61,2979;;;
130810;0000;85,2417;;;
130811;0000;28,265;;;
130812;0000;37,0662;;;
130813;0000;42,0429;;;
130814;0000;236,784;;;
130815;0000;117,48;;;
130816;0000;52,842;;;
130817;0000;209,467;;;
130818;0000;88,8529;;;
130819;0000;42,2354;;;
130820;0000;108,114;;;
130821;0000;59,9954;;;
130822;0000;28,1167;;;
130823;0000;42,8958;;;
130824;0000;155,68;;;
130825;0000;197,62;;;
130826;0000;175,575;;;
130827;0000;87,4178;;;
130828;0000;38,0466;;;
130829;0000;52,6533;;;
130830;0000;64,9958;;;
130831;0000;75,5321;;;
130901;0000;162,118;;;
130902;0000;140,543;;;
130903;0000;122,667;;;
