FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
080913;0000;;;52,8012;
080914;0000;;;83,0394;
080915;0000;;;27,7968;
080916;0000;;;32,5083;
080917;0000;;;18,7958;
080918;0000;;;14,4042;
080919;0000;;;27,6565;
080920;0000;;;16,0958;
080921;0000;;;20,3916;
080922;0000;;;21,2291;
080923;0000;;;14,9875;
080924;0000;;;21,3177;
080925;0000;;;30,7333;
080926;0000;;;19,3177;
080927;0000;;;21,5333;
080928;0000;;;32,2916;
080929;0000;;;24,825;
080930;0000;;;20,1708;
081001;0000;;;14,275;
081002;0000;;;33,5427;
081003;0000;;;17,5083;
081004;0000;;;13,2591;
081005;0000;;;12,55;
081006;0000;;;16,0042;
081007;0000;;;16,5875;
081008;0000;;;19,1458;
081009;0000;;;16,725;
081010;0000;;;9,88748;
081011;0000;;;7,87916;
081012;0000;;;15,7041;
081013;0000;;;16,3458;
081014;0000;;;12,3375;
081015;0000;;;14,8916;
081016;0000;;;13,8125;
081017;0000;;;14,4708;
081018;0000;;;14,175;
081019;0000;;;10,2458;
081020;0000;;;7,97916;
081021;0000;;;7,68333;
081022;0000;;;11,0166;
081023;0000;;;8,09999;
081024;0000;;;13,7791;
081025;0000;;;24,0333;
081026;0000;;;13,7708;
081027;0000;;;13,0542;
081028;0000;;;9,27498;
081029;0000;;;9,65833;
081030;0000;;;14,0875;
081031;0000;;;12,0875;
081101;0000;;;12,0292;
081102;0000;;;12,4833;
081103;0000;;;14,6958;
081104;0000;;;11,1875;
081105;0000;;;12,3167;
081106;0000;;;11,4958;
081107;0000;;;;
081108;0000;;;;
081109;0000;;;;
081110;0000;;;;
081111;0000;;;;
081112;0000;;;;
081113;0000;;;;
081114;0000;;;16,53;
081115;0000;;;10,625;
081116;0000;;;;
081117;0000;;;;
081118;0000;;;18,175;
081119;0000;;;15,4167;
081120;0000;;;;
081121;0000;;;;
081122;0000;;;12,9875;
081123;0000;;;11,4042;
081124;0000;;;9,325;
081125;0000;;;;
081126;0000;;;;
081127;0000;;;;
081128;0000;;;9,00832;
081129;0000;;;;
081130;0000;;;;
081201;0000;;;;
081202;0000;;;12,8125;
081203;0000;;;9,14165;
081204;0000;;;15,7958;
081205;0000;;;17,1333;
